trial,timestamp,phase,trial_kind,evaluation_profile,profile_trial,learning_enabled,target,answer,correct,reward,p0,p1,p2,policy_entropy,stimulus_profile,signal_energy,area_factor,requested_area_factor,post_noise_energy,min_pair_distance,gain_ratio,overall,balanced_accuracy,one_vs_two_accuracy,recent_20,recent_100,recent_500,successes,attempts,target_0_accuracy,target_1_accuracy,target_2_accuracy,probe_overall,probe_balanced_accuracy,probe_one_vs_two_accuracy,probe_recent_20,probe_recent_100,probe_recent_500,probe_successes,probe_attempts,probe_target_0_accuracy,probe_target_1_accuracy,probe_target_2_accuracy,active_synapses,mean_delta_w
38,1789306155.8915958,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,38,0,0,0,1,1.0,0.86994,0.02506,0.10499,0.45024,position_only,0.0,0.0,0.0,0.57027,,,0.8947368421052632,0.9074074074074074,0.9,0.9,0.8947368421052632,0.8947368421052632,34,38,0.8888888888888888,1.0,0.8333333333333334,0.8947368421052632,0.9074074074074074,0.9,0.9,0.8947368421052632,0.8947368421052632,34,38,0.8888888888888888,1.0,0.8333333333333334,0,0.0
39,1789306155.8926094,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,39,0,1,1,1,1.0,0.01142,0.8738,0.11479,0.41742,position_only,1.89989,1.44,1.44,2.47514,,,0.8974358974358975,0.9074074074074074,0.9047619047619048,0.9,0.8974358974358975,0.8974358974358975,35,39,0.8888888888888888,1.0,0.8333333333333334,0.8974358974358975,0.9074074074074074,0.9047619047619048,0.9,0.8974358974358975,0.8974358974358975,35,39,0.8888888888888888,1.0,0.8333333333333334,0,0.0
40,1789306155.8936684,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,40,0,0,0,1,1.0,0.88491,0.02281,0.09228,0.41432,position_only,0.0,0.0,0.0,0.57112,,,0.9,0.9093567251461989,0.9047619047619048,0.9,0.9,0.9,36,40,0.8947368421052632,1.0,0.8333333333333334,0.9,0.9093567251461989,0.9047619047619048,0.9,0.9,0.9,36,40,0.8947368421052632,1.0,0.8333333333333334,0,0.0
41,1789306155.8948445,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,41,0,2,2,1,1.0,0.05967,0.18991,0.75042,0.69914,position_only,1.95893,1.44,1.44,2.34611,3.16228,1.0734,0.9024390243902439,0.9136302294197032,0.9090909090909091,0.95,0.9024390243902439,0.9024390243902439,37,41,0.8947368421052632,1.0,0.8461538461538461,0.9024390243902439,0.9136302294197032,0.9090909090909091,0.95,0.9024390243902439,0.9024390243902439,37,41,0.8947368421052632,1.0,0.8461538461538461,0,0.0
42,1789306155.8958354,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,42,0,2,2,1,1.0,0.05085,0.10534,0.8438,0.53187,position_only,1.86482,1.44,1.44,2.31032,5.0,1.01038,0.9047619047619048,0.9172932330827068,0.9130434782608695,0.95,0.9047619047619048,0.9047619047619048,38,42,0.8947368421052632,1.0,0.8571428571428571,0.9047619047619048,0.9172932330827068,0.9130434782608695,0.95,0.9047619047619048,0.9047619047619048,38,42,0.8947368421052632,1.0,0.8571428571428571,0,0.0
43,1789306155.896762,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,43,0,0,2,0,-1.0,0.89261,0.02555,0.08183,0.39994,position_only,0.0,0.0,0.0,0.48192,,,0.8837209302325582,0.9023809523809524,0.9130434782608695,0.9,0.8837209302325582,0.8837209302325582,38,43,0.85,1.0,0.8571428571428571,0.8837209302325582,0.9023809523809524,0.9130434782608695,0.9,0.8837209302325582,0.8837209302325582,38,43,0.85,1.0,0.8571428571428571,0,0.0
44,1789306155.8979032,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,44,0,1,1,1,1.0,0.00197,0.95168,0.04635,0.20177,position_only,2.10015,1.44,1.44,2.7221,,,0.8863636363636364,0.9023809523809524,0.9166666666666666,0.9,0.8863636363636364,0.8863636363636364,39,44,0.85,1.0,0.8571428571428571,0.8863636363636364,0.9023809523809524,0.9166666666666666,0.9,0.8863636363636364,0.8863636363636364,39,44,0.85,1.0,0.8571428571428571,0,0.0
45,1789306155.8988686,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,45,0,2,2,1,1.0,0.06674,0.08215,0.85111,0.52318,position_only,1.92909,1.44,1.44,2.50147,7.28011,1.0898,0.8888888888888888,0.9055555555555556,0.92,0.9,0.8888888888888888,0.8888888888888888,40,45,0.85,1.0,0.8666666666666667,0.8888888888888888,0.9055555555555556,0.92,0.9,0.8888888888888888,0.8888888888888888,40,45,0.85,1.0,0.8666666666666667,0,0.0
46,1789306155.8998601,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,46,0,0,0,1,1.0,0.86816,0.02613,0.10572,0.45551,position_only,0.0,0.0,0.0,0.81811,,,0.8913043478260869,0.9079365079365079,0.92,0.9,0.8913043478260869,0.8913043478260869,41,46,0.8571428571428571,1.0,0.8666666666666667,0.8913043478260869,0.9079365079365079,0.92,0.9,0.8913043478260869,0.8913043478260869,41,46,0.8571428571428571,1.0,0.8666666666666667,0,0.0
47,1789306155.9007158,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,47,0,2,2,1,1.0,0.02715,0.0843,0.88855,0.41142,position_only,2.08561,1.44,1.44,2.56162,6.40312,1.14377,0.8936170212765957,0.9107142857142857,0.9230769230769231,0.9,0.8936170212765957,0.8936170212765957,42,47,0.8571428571428571,1.0,0.875,0.8936170212765957,0.9107142857142857,0.9230769230769231,0.9,0.8936170212765957,0.8936170212765957,42,47,0.8571428571428571,1.0,0.875,0,0.0
48,1789306155.9015574,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,48,0,1,1,1,1.0,0.00128,0.9397,0.05902,0.23398,position_only,2.11974,1.44,1.44,2.62626,,,0.8958333333333334,0.9107142857142857,0.9259259259259259,0.9,0.8958333333333334,0.8958333333333334,43,48,0.8571428571428571,1.0,0.875,0.8958333333333334,0.9107142857142857,0.9259259259259259,0.9,0.8958333333333334,0.8958333333333334,43,48,0.8571428571428571,1.0,0.875,0,0.0
49,1789306156.1555552,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,49,0,0,2,0,-1.0,0.88482,0.02577,0.08941,0.41845,position_only,0.0,0.0,0.0,0.61006,,,0.8775510204081632,0.8977272727272728,0.9259259259259259,0.85,0.8775510204081632,0.8775510204081632,43,49,0.8181818181818182,1.0,0.875,0.8775510204081632,0.8977272727272728,0.9259259259259259,0.85,0.8775510204081632,0.8775510204081632,43,49,0.8181818181818182,1.0,0.875,0,0.0
50,1789306156.156685,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,50,0,0,0,1,1.0,0.89695,0.02535,0.07771,0.38923,position_only,0.0,0.0,0.0,0.494,,,0.88,0.9003623188405797,0.9259259259259259,0.9,0.88,0.88,44,50,0.8260869565217391,1.0,0.875,0.88,0.9003623188405797,0.9259259259259259,0.9,0.88,0.88,44,50,0.8260869565217391,1.0,0.875,0,0.0
51,1789306156.158357,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,51,0,2,2,1,1.0,0.0487,0.1689,0.7824,0.63955,position_only,1.94701,1.44,1.44,2.38845,4.47214,1.04602,0.8823529411764706,0.9028132992327366,0.9285714285714286,0.9,0.8823529411764706,0.8823529411764706,45,51,0.8260869565217391,1.0,0.8823529411764706,0.8823529411764706,0.9028132992327366,0.9285714285714286,0.9,0.8823529411764706,0.8823529411764706,45,51,0.8260869565217391,1.0,0.8823529411764706,0,0.0
52,1789306156.159501,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,52,0,2,2,1,1.0,0.05135,0.10108,0.84757,0.52429,position_only,2.07689,1.44,1.44,2.55831,6.40312,1.03613,0.8846153846153846,0.9049919484702094,0.9310344827586207,0.9,0.8846153846153846,0.8846153846153846,46,52,0.8260869565217391,1.0,0.8888888888888888,0.8846153846153846,0.9049919484702094,0.9310344827586207,0.9,0.8846153846153846,0.8846153846153846,46,52,0.8260869565217391,1.0,0.8888888888888888,0,0.0
53,1789306156.1603997,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,53,0,0,0,1,1.0,0.87499,0.02595,0.09907,0.44064,position_only,0.0,0.0,0.0,0.60851,,,0.8867924528301887,0.9074074074074074,0.9310344827586207,0.9,0.8867924528301887,0.8867924528301887,47,53,0.8333333333333334,1.0,0.8888888888888888,0.8867924528301887,0.9074074074074074,0.9310344827586207,0.9,0.8867924528301887,0.8867924528301887,47,53,0.8333333333333334,1.0,0.8888888888888888,0,0.0
54,1789306156.161245,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,54,0,1,1,1,1.0,0.00532,0.78737,0.20731,0.54232,position_only,2.09002,1.44,1.44,2.71697,,,0.8888888888888888,0.9074074074074074,0.9333333333333333,0.9,0.8888888888888888,0.8888888888888888,48,54,0.8333333333333334,1.0,0.8888888888888888,0.8888888888888888,0.9074074074074074,0.9333333333333333,0.9,0.8888888888888888,0.8888888888888888,48,54,0.8333333333333334,1.0,0.8888888888888888,0,0.0
55,1789306156.1620293,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,55,0,0,0,1,1.0,0.84867,0.03082,0.1205,0.50149,position_only,0.0,0.0,0.0,0.689,,,0.8909090909090909,0.9096296296296296,0.9333333333333333,0.9,0.8909090909090909,0.8909090909090909,49,55,0.84,1.0,0.8888888888888888,0.8909090909090909,0.9096296296296296,0.9333333333333333,0.9,0.8909090909090909,0.8909090909090909,49,55,0.84,1.0,0.8888888888888888,0,0.0
