trial,timestamp,phase,trial_kind,evaluation_profile,profile_trial,learning_enabled,target,answer,correct,reward,p0,p1,p2,policy_entropy,stimulus_profile,signal_energy,area_factor,requested_area_factor,post_noise_energy,min_pair_distance,gain_ratio,overall,balanced_accuracy,one_vs_two_accuracy,recent_20,recent_100,recent_500,successes,attempts,target_0_accuracy,target_1_accuracy,target_2_accuracy,probe_overall,probe_balanced_accuracy,probe_one_vs_two_accuracy,probe_recent_20,probe_recent_100,probe_recent_500,probe_successes,probe_attempts,probe_target_0_accuracy,probe_target_1_accuracy,probe_target_2_accuracy,active_synapses,mean_delta_w
1,1789306155.0988152,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,1,0,2,2,1,1.0,0.14013,0.17021,0.68966,0.83302,position_only,1.96458,1.44,1.44,2.43369,7.81025,1.09206,1.0,1.0,1.0,1.0,1.0,1.0,1,1,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,,,1.0,0,0.0
2,1789306155.1004815,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,2,0,2,2,1,1.0,0.02594,0.05712,0.91694,0.33776,position_only,1.91888,1.44,1.44,2.52597,5.38516,1.06295,1.0,1.0,1.0,1.0,1.0,1.0,2,2,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,,,1.0,0,0.0
3,1789306155.101395,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,3,0,0,2,0,-1.0,0.87749,0.02772,0.09479,0.43741,position_only,0.0,0.0,0.0,0.61696,,,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,3,0.0,,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,3,0.0,,1.0,0,0.0
4,1789306155.1023834,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,4,0,0,0,1,1.0,0.87526,0.02808,0.09666,0.4428,position_only,0.0,0.0,0.0,0.57629,,,0.75,0.75,1.0,0.75,0.75,0.75,3,4,0.5,,1.0,0.75,0.75,1.0,0.75,0.75,0.75,3,4,0.5,,1.0,0,0.0
5,1789306155.1033204,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,5,0,0,0,1,1.0,0.86237,0.0296,0.10803,0.47229,position_only,0.0,0.0,0.0,0.63848,,,0.8,0.8333333333333333,1.0,0.8,0.8,0.8,4,5,0.6666666666666666,,1.0,0.8,0.8333333333333333,1.0,0.8,0.8,0.8,4,5,0.6666666666666666,,1.0,0,0.0
6,1789306155.1042814,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,6,0,2,0,0,-1.0,0.04,0.2982,0.6618,0.76276,position_only,1.89253,1.44,1.44,2.42205,3.60555,1.13713,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,6,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,6,0.6666666666666666,,0.6666666666666666,0,0.0
7,1789306155.1051407,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,7,0,0,0,1,1.0,0.85499,0.03054,0.11448,0.4886,position_only,0.0,0.0,0.0,0.61834,,,0.7142857142857143,0.7083333333333333,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,7,0.75,,0.6666666666666666,0.7142857142857143,0.7083333333333333,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,7,0.75,,0.6666666666666666,0,0.0
8,1789306155.1059668,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,8,0,1,1,1,1.0,0.02553,0.82258,0.1519,0.54055,position_only,1.97293,1.44,1.44,2.30437,,,0.75,0.8055555555555555,0.75,0.75,0.75,0.75,6,8,0.75,1.0,0.6666666666666666,0.75,0.8055555555555555,0.75,0.75,0.75,0.75,6,8,0.75,1.0,0.6666666666666666,0,0.0
9,1789306155.1068244,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,9,0,2,2,1,1.0,0.04494,0.09683,0.85823,0.49672,position_only,2.12522,1.44,1.44,2.59324,5.65685,1.04626,0.7777777777777778,0.8333333333333334,0.8,0.7777777777777778,0.7777777777777778,0.7777777777777778,7,9,0.75,1.0,0.75,0.7777777777777778,0.8333333333333334,0.8,0.7777777777777778,0.7777777777777778,0.7777777777777778,7,9,0.75,1.0,0.75,0,0.0
10,1789306155.1077611,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,10,0,2,2,1,1.0,0.03117,0.20048,0.76835,0.63275,position_only,2.03716,1.44,1.44,2.44356,4.12311,1.00856,0.8,0.85,0.8333333333333334,0.8,0.8,0.8,8,10,0.75,1.0,0.8,0.8,0.85,0.8333333333333334,0.8,0.8,0.8,8,10,0.75,1.0,0.8,0,0.0
11,1789306155.1094072,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,11,0,0,0,1,1.0,0.86862,0.02758,0.1038,0.45651,position_only,0.0,0.0,0.0,0.64141,,,0.8181818181818182,0.8666666666666667,0.8333333333333334,0.8181818181818182,0.8181818181818182,0.8181818181818182,9,11,0.8,1.0,0.8,0.8181818181818182,0.8666666666666667,0.8333333333333334,0.8181818181818182,0.8181818181818182,0.8181818181818182,9,11,0.8,1.0,0.8,0,0.0
12,1789306155.1103094,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,12,0,1,1,1,1.0,0.00177,0.96279,0.03544,0.16612,position_only,2.1175,1.44,1.44,2.64442,,,0.8333333333333334,0.8666666666666667,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,12,0.8,1.0,0.8,0.8333333333333334,0.8666666666666667,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,12,0.8,1.0,0.8,0,0.0
13,1789306155.360064,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,13,0,0,0,1,1.0,0.87056,0.02487,0.10457,0.44866,position_only,0.0,0.0,0.0,0.6631,,,0.8461538461538461,0.8777777777777778,0.8571428571428571,0.8461538461538461,0.8461538461538461,0.8461538461538461,11,13,0.8333333333333334,1.0,0.8,0.8461538461538461,0.8777777777777778,0.8571428571428571,0.8461538461538461,0.8461538461538461,0.8461538461538461,11,13,0.8333333333333334,1.0,0.8,0,0.0
14,1789306155.3612769,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,14,0,1,1,1,1.0,0.00162,0.95856,0.03982,0.17934,position_only,2.11386,1.44,1.44,2.55062,,,0.8571428571428571,0.8777777777777778,0.875,0.8571428571428571,0.8571428571428571,0.8571428571428571,12,14,0.8333333333333334,1.0,0.8,0.8571428571428571,0.8777777777777778,0.875,0.8571428571428571,0.8571428571428571,0.8571428571428571,12,14,0.8333333333333334,1.0,0.8,0,0.0
15,1789306155.3623388,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,15,0,1,1,1,1.0,0.01654,0.7521,0.23136,0.62077,position_only,1.91208,1.44,1.44,2.40411,,,0.8666666666666667,0.8777777777777778,0.8888888888888888,0.8666666666666667,0.8666666666666667,0.8666666666666667,13,15,0.8333333333333334,1.0,0.8,0.8666666666666667,0.8777777777777778,0.8888888888888888,0.8666666666666667,0.8666666666666667,0.8666666666666667,13,15,0.8333333333333334,1.0,0.8,0,0.0
16,1789306155.3635614,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,16,0,1,1,1,1.0,0.00127,0.93108,0.06765,0.25717,position_only,2.11076,1.44,1.44,2.55708,,,0.875,0.8777777777777778,0.9,0.875,0.875,0.875,14,16,0.8333333333333334,1.0,0.8,0.875,0.8777777777777778,0.9,0.875,0.875,0.875,14,16,0.8333333333333334,1.0,0.8,0,0.0
17,1789306155.364486,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,17,0,0,0,1,1.0,0.87306,0.02591,0.10104,0.44477,position_only,0.0,0.0,0.0,0.55751,,,0.8823529411764706,0.8857142857142857,0.9,0.8823529411764706,0.8823529411764706,0.8823529411764706,15,17,0.8571428571428571,1.0,0.8,0.8823529411764706,0.8857142857142857,0.9,0.8823529411764706,0.8823529411764706,0.8823529411764706,15,17,0.8571428571428571,1.0,0.8,0,0.0
18,1789306155.365272,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,18,0,0,0,1,1.0,0.87638,0.02709,0.09654,0.43908,position_only,0.0,0.0,0.0,0.55163,,,0.8888888888888888,0.8916666666666666,0.9,0.8888888888888888,0.8888888888888888,0.8888888888888888,16,18,0.875,1.0,0.8,0.8888888888888888,0.8916666666666666,0.9,0.8888888888888888,0.8888888888888888,0.8888888888888888,16,18,0.875,1.0,0.8,0,0.0
19,1789306155.3661056,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,19,0,2,2,1,1.0,0.07819,0.08239,0.83942,0.55187,position_only,2.04354,1.44,1.44,2.59531,5.38516,1.01646,0.8947368421052632,0.9027777777777778,0.9090909090909091,0.8947368421052632,0.8947368421052632,0.8947368421052632,17,19,0.875,1.0,0.8333333333333334,0.8947368421052632,0.9027777777777778,0.9090909090909091,0.8947368421052632,0.8947368421052632,0.8947368421052632,17,19,0.875,1.0,0.8333333333333334,0,0.0
20,1789306155.3670032,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,20,0,0,0,1,1.0,0.88264,0.02706,0.0903,0.425,position_only,0.0,0.0,0.0,0.67302,,,0.9,0.9074074074074074,0.9090909090909091,0.9,0.9,0.9,18,20,0.8888888888888888,1.0,0.8333333333333334,0.9,0.9074074074074074,0.9090909090909091,0.9,0.9,0.9,18,20,0.8888888888888888,1.0,0.8333333333333334,0,0.0
21,1789306155.3680763,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,21,0,2,1,0,-1.0,0.02234,0.44774,0.52992,0.78122,position_only,2.00352,1.44,1.44,2.54639,3.16228,1.04346,0.8571428571428571,0.8677248677248678,0.8333333333333334,0.85,0.8571428571428571,0.8571428571428571,18,21,0.8888888888888888,1.0,0.7142857142857143,0.8571428571428571,0.8677248677248678,0.8333333333333334,0.85,0.8571428571428571,0.8571428571428571,18,21,0.8888888888888888,1.0,0.7142857142857143,0,0.0
22,1789306155.3691912,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,22,0,0,0,1,1.0,0.8886,0.02516,0.08625,0.40894,position_only,0.0,0.0,0.0,0.50483,,,0.8636363636363636,0.8714285714285714,0.8333333333333334,0.85,0.8636363636363636,0.8636363636363636,19,22,0.9,1.0,0.7142857142857143,0.8636363636363636,0.8714285714285714,0.8333333333333334,0.85,0.8636363636363636,0.8636363636363636,19,22,0.9,1.0,0.7142857142857143,0,0.0
23,1789306155.3701737,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,23,0,1,1,1,1.0,0.02626,0.80985,0.16389,0.56279,position_only,1.8815,1.44,1.44,2.43664,,,0.8695652173913043,0.8714285714285714,0.8461538461538461,0.9,0.8695652173913043,0.8695652173913043,20,23,0.9,1.0,0.7142857142857143,0.8695652173913043,0.8714285714285714,0.8461538461538461,0.9,0.8695652173913043,0.8695652173913043,20,23,0.9,1.0,0.7142857142857143,0,0.0
24,1789306155.3711793,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,24,0,2,2,1,1.0,0.0309,0.10916,0.85994,0.47897,position_only,1.98915,1.44,1.44,2.55925,4.12311,1.03692,0.875,0.8833333333333333,0.8571428571428571,0.9,0.875,0.875,21,24,0.9,1.0,0.75,0.875,0.8833333333333333,0.8571428571428571,0.9,0.875,0.875,21,24,0.9,1.0,0.75,0,0.0
25,1789306155.6260643,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,25,0,1,1,1,1.0,0.00904,0.90181,0.08915,0.35127,position_only,1.87954,1.44,1.44,2.31644,,,0.88,0.8833333333333333,0.8666666666666667,0.9,0.88,0.88,22,25,0.9,1.0,0.75,0.88,0.8833333333333333,0.8666666666666667,0.9,0.88,0.88,22,25,0.9,1.0,0.75,0,0.0
26,1789306155.6279879,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,26,0,0,0,1,1.0,0.87812,0.02685,0.09503,0.43492,position_only,0.0,0.0,0.0,0.49204,,,0.8846153846153846,0.8863636363636364,0.8666666666666667,0.95,0.8846153846153846,0.8846153846153846,23,26,0.9090909090909091,1.0,0.75,0.8846153846153846,0.8863636363636364,0.8666666666666667,0.95,0.8846153846153846,0.8846153846153846,23,26,0.9090909090909091,1.0,0.75,0,0.0
27,1789306155.6290953,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,27,0,2,2,1,1.0,0.08235,0.2391,0.67854,0.81088,position_only,1.89174,1.44,1.44,2.44032,6.7082,1.07753,0.8888888888888888,0.8956228956228957,0.875,0.95,0.8888888888888888,0.8888888888888888,24,27,0.9090909090909091,1.0,0.7777777777777778,0.8888888888888888,0.8956228956228957,0.875,0.95,0.8888888888888888,0.8888888888888888,24,27,0.9090909090909091,1.0,0.7777777777777778,0,0.0
28,1789306155.6301806,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,28,0,0,0,1,1.0,0.88682,0.02589,0.08729,0.41397,position_only,0.0,0.0,0.0,0.57403,,,0.8928571428571429,0.8981481481481483,0.875,0.95,0.8928571428571429,0.8928571428571429,25,28,0.9166666666666666,1.0,0.7777777777777778,0.8928571428571429,0.8981481481481483,0.875,0.95,0.8928571428571429,0.8928571428571429,25,28,0.9166666666666666,1.0,0.7777777777777778,0,0.0
29,1789306155.631278,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,29,0,0,0,1,1.0,0.88882,0.02449,0.08669,0.40759,position_only,0.0,0.0,0.0,0.53688,,,0.896551724137931,0.9002849002849004,0.875,0.95,0.896551724137931,0.896551724137931,26,29,0.9230769230769231,1.0,0.7777777777777778,0.896551724137931,0.9002849002849004,0.875,0.95,0.896551724137931,0.896551724137931,26,29,0.9230769230769231,1.0,0.7777777777777778,0,0.0
30,1789306155.6320887,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,30,0,0,2,0,-1.0,0.89098,0.02545,0.08356,0.4037,position_only,0.0,0.0,0.0,0.45349,,,0.8666666666666667,0.8783068783068783,0.875,0.9,0.8666666666666667,0.8666666666666667,26,30,0.8571428571428571,1.0,0.7777777777777778,0.8666666666666667,0.8783068783068783,0.875,0.9,0.8666666666666667,0.8666666666666667,26,30,0.8571428571428571,1.0,0.7777777777777778,0,0.0
31,1789306155.632927,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,31,0,2,2,1,1.0,0.0611,0.15504,0.78386,0.65068,position_only,1.98715,1.44,1.44,2.39579,4.12311,1.09856,0.8709677419354839,0.8857142857142857,0.8823529411764706,0.9,0.8709677419354839,0.8709677419354839,27,31,0.8571428571428571,1.0,0.8,0.8709677419354839,0.8857142857142857,0.8823529411764706,0.9,0.8709677419354839,0.8709677419354839,27,31,0.8571428571428571,1.0,0.8,0,0.0
32,1789306155.6338043,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,32,0,2,2,1,1.0,0.14313,0.16077,0.6961,0.82427,position_only,2.04169,1.44,1.44,2.50605,8.0,1.00517,0.875,0.8917748917748917,0.8888888888888888,0.9,0.875,0.875,28,32,0.8571428571428571,1.0,0.8181818181818182,0.875,0.8917748917748917,0.8888888888888888,0.9,0.875,0.875,28,32,0.8571428571428571,1.0,0.8181818181818182,0,0.0
33,1789306155.634742,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,33,0,2,2,1,1.0,0.0441,0.3469,0.609,0.80694,position_only,1.94966,1.44,1.44,2.59579,3.16228,1.04255,0.8787878787878788,0.8968253968253969,0.8947368421052632,0.9,0.8787878787878788,0.8787878787878788,29,33,0.8571428571428571,1.0,0.8333333333333334,0.8787878787878788,0.8968253968253969,0.8947368421052632,0.9,0.8787878787878788,0.8787878787878788,29,33,0.8571428571428571,1.0,0.8333333333333334,0,0.0
34,1789306155.6355932,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,34,0,1,1,1,1.0,0.01447,0.84984,0.13569,0.47059,position_only,1.85601,1.44,1.44,2.29398,,,0.8823529411764706,0.8968253968253969,0.9,0.9,0.8823529411764706,0.8823529411764706,30,34,0.8571428571428571,1.0,0.8333333333333334,0.8823529411764706,0.8968253968253969,0.9,0.9,0.8823529411764706,0.8823529411764706,30,34,0.8571428571428571,1.0,0.8333333333333334,0,0.0
35,1789306155.6367543,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,35,0,0,0,1,1.0,0.89983,0.0238,0.07636,0.38037,position_only,0.0,0.0,0.0,0.44902,,,0.8857142857142857,0.9,0.9,0.9,0.8857142857142857,0.8857142857142857,31,35,0.8666666666666667,1.0,0.8333333333333334,0.8857142857142857,0.9,0.9,0.9,0.8857142857142857,0.8857142857142857,31,35,0.8666666666666667,1.0,0.8333333333333334,0,0.0
36,1789306155.6376567,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,36,0,0,0,1,1.0,0.89002,0.02515,0.08483,0.4056,position_only,0.0,0.0,0.0,0.47216,,,0.8888888888888888,0.9027777777777778,0.9,0.9,0.8888888888888888,0.8888888888888888,32,36,0.875,1.0,0.8333333333333334,0.8888888888888888,0.9027777777777778,0.9,0.9,0.8888888888888888,0.8888888888888888,32,36,0.875,1.0,0.8333333333333334,0,0.0
37,1789306155.8901603,dots_0_2_stage2_2b_robust_ood,robust_ood_eval,position_only,37,0,0,0,1,1.0,0.87077,0.03078,0.09845,0.45585,position_only,0.0,0.0,0.0,0.55371,,,0.8918918918918919,0.9052287581699346,0.9,0.9,0.8918918918918919,0.8918918918918919,33,37,0.8823529411764706,1.0,0.8333333333333334,0.8918918918918919,0.9052287581699346,0.9,0.9,0.8918918918918919,0.8918918918918919,33,37,0.8823529411764706,1.0,0.8333333333333334,0,0.0
