trial,timestamp,phase,trial_kind,learning_enabled,target,answer,correct,reward,p0,p1,p2,policy_entropy,signal_energy,area_factor,post_noise_energy,overall,recent_20,recent_100,recent_500,successes,attempts,target_0_accuracy,target_1_accuracy,target_2_accuracy,probe_overall,probe_recent_20,probe_recent_100,probe_recent_500,probe_successes,probe_attempts,probe_target_0_accuracy,probe_target_1_accuracy,probe_target_2_accuracy,active_synapses,mean_delta_w
19,1789302048.361702,dots_0_2_stage2,train,1,2,2,1,1.0,0.18789,0.19699,0.61512,0.93308,2.10784,1.44,2.63903,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,7,19,0.2857142857142857,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0,1,0.0,,,198,0.007443
20,1789302048.3623307,dots_0_2_stage2,probe,0,0,1,0,-1.0,0.28471,0.26667,0.44862,1.06975,0.0,0.0,0.62171,0.35,0.35,0.35,0.35,7,20,0.25,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0,2,0.0,,,0,0.0
21,1789302048.3629477,dots_0_2_stage2,train,1,0,2,0,-1.0,0.28834,0.26934,0.44232,1.07271,0.0,0.0,0.57806,0.3333333333333333,0.35,0.3333333333333333,0.3333333333333333,7,21,0.2222222222222222,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0,2,0.0,,,198,0.001366
22,1789302048.3635442,dots_0_2_stage2,train,1,1,2,0,-1.0,0.17844,0.17782,0.64375,0.89816,2.12608,1.44,2.596,0.3181818181818182,0.35,0.3181818181818182,0.3181818181818182,7,22,0.2222222222222222,0.14285714285714285,0.6666666666666666,0.0,0.0,0.0,0.0,0,2,0.0,,,198,0.005789
23,1789302048.3641217,dots_0_2_stage2,train,1,2,1,0,-1.0,0.2115,0.21453,0.57396,0.97746,1.86894,1.44,2.45204,0.30434782608695654,0.35,0.30434782608695654,0.30434782608695654,7,23,0.2222222222222222,0.14285714285714285,0.5714285714285714,0.0,0.0,0.0,0.0,0,2,0.0,,,198,0.013025
24,1789302048.3646793,dots_0_2_stage2,train,1,1,2,0,-1.0,0.20857,0.12157,0.66986,0.85151,2.11005,1.44,2.65103,0.2916666666666667,0.35,0.2916666666666667,0.2916666666666667,7,24,0.2222222222222222,0.125,0.5714285714285714,0.0,0.0,0.0,0.0,0,2,0.0,,,198,0.005007
25,1789302048.6197248,dots_0_2_stage2,train,1,1,2,0,-1.0,0.25224,0.14125,0.60651,0.92716,1.98467,1.44,2.54297,0.28,0.35,0.28,0.28,7,25,0.2222222222222222,0.1111111111111111,0.5714285714285714,0.0,0.0,0.0,0.0,0,2,0.0,,,198,0.005949
26,1789302048.6213038,dots_0_2_stage2,train,1,0,1,0,-1.0,0.33081,0.26252,0.40667,1.08295,0.0,0.0,0.63079,0.2692307692307692,0.3,0.2692307692307692,0.2692307692307692,7,26,0.2,0.1111111111111111,0.5714285714285714,0.0,0.0,0.0,0.0,0,2,0.0,,,198,0.001956
27,1789302048.6219904,dots_0_2_stage2,train,1,1,2,0,-1.0,0.28906,0.15591,0.55503,0.97527,1.89477,1.44,2.42258,0.25925925925925924,0.3,0.25925925925925924,0.25925925925925924,7,27,0.2,0.1,0.5714285714285714,0.0,0.0,0.0,0.0,0,2,0.0,,,195,0.0063
28,1789302048.6226969,dots_0_2_stage2,train,1,1,2,0,-1.0,0.33168,0.16704,0.50127,1.01114,2.09657,1.44,2.58535,0.25,0.25,0.25,0.25,7,28,0.2,0.09090909090909091,0.5714285714285714,0.0,0.0,0.0,0.0,0,2,0.0,,,198,0.008198
