trial,timestamp,phase,trial_kind,learning_enabled,target,answer,correct,reward,p0,p1,p2,policy_entropy,stimulus_profile,signal_energy,area_factor,requested_area_factor,post_noise_energy,min_pair_distance,gain_ratio,overall,balanced_accuracy,one_vs_two_accuracy,recent_20,recent_100,recent_500,successes,attempts,target_0_accuracy,target_1_accuracy,target_2_accuracy,probe_overall,probe_balanced_accuracy,probe_one_vs_two_accuracy,probe_recent_20,probe_recent_100,probe_recent_500,probe_successes,probe_attempts,probe_target_0_accuracy,probe_target_1_accuracy,probe_target_2_accuracy,active_synapses,mean_delta_w
13,1789304121.7725587,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.00228,0.9973,0.00042,0.01983,ood,1.90999,1.9312,1.9312,2.47109,,,0.7692307692307693,0.75,0.625,0.7692307692307693,0.7692307692307693,0.7692307692307693,10,13,1.0,1.0,0.25,0.7692307692307693,0.75,0.625,0.7692307692307693,0.7692307692307693,0.7692307692307693,10,13,1.0,1.0,0.25,0,0.0
14,1789304121.7736454,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94566,0.02694,0.0274,0.24877,ood,0.0,0.0,0.0,0.46055,,,0.7857142857142857,0.75,0.625,0.7857142857142857,0.7857142857142857,0.7857142857142857,11,14,1.0,1.0,0.25,0.7857142857142857,0.75,0.625,0.7857142857142857,0.7857142857142857,0.7857142857142857,11,14,1.0,1.0,0.25,0,0.0
15,1789304121.7744575,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94419,0.02908,0.02673,0.25392,ood,0.0,0.0,0.0,0.55542,,,0.8,0.75,0.625,0.8,0.8,0.8,12,15,1.0,1.0,0.25,0.8,0.75,0.625,0.8,0.8,0.8,12,15,1.0,1.0,0.25,0,0.0
16,1789304121.7752306,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94103,0.03227,0.02669,0.26472,ood,0.0,0.0,0.0,0.55502,,,0.8125,0.75,0.625,0.8125,0.8125,0.8125,13,16,1.0,1.0,0.25,0.8125,0.75,0.625,0.8125,0.8125,0.8125,13,16,1.0,1.0,0.25,0,0.0
17,1789304121.7758615,dots_0_2_stage2_2_ood,ood_eval,0,0,2,0,-1.0,0.94736,0.02863,0.024,0.24249,ood,0.0,0.0,0.0,0.58002,,,0.7647058823529411,0.7129629629629629,0.625,0.7647058823529411,0.7647058823529411,0.7647058823529411,13,17,0.8888888888888888,1.0,0.25,0.7647058823529411,0.7129629629629629,0.625,0.7647058823529411,0.7647058823529411,0.7647058823529411,13,17,0.8888888888888888,1.0,0.25,0,0.0
18,1789304121.7765112,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94468,0.03215,0.02316,0.2515,ood,0.0,0.0,0.0,0.60528,,,0.7777777777777778,0.7166666666666667,0.625,0.7777777777777778,0.7777777777777778,0.7777777777777778,14,18,0.9,1.0,0.25,0.7777777777777778,0.7166666666666667,0.625,0.7777777777777778,0.7777777777777778,0.7777777777777778,14,18,0.9,1.0,0.25,0,0.0
19,1789304121.7776084,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.10384,0.82266,0.0735,0.58766,ood,1.94611,1.97714,1.97714,2.42932,2.82843,2.73321,0.7368421052631579,0.7000000000000001,0.5555555555555556,0.7368421052631579,0.7368421052631579,0.7368421052631579,14,19,0.9,1.0,0.2,0.7368421052631579,0.7000000000000001,0.5555555555555556,0.7368421052631579,0.7368421052631579,0.7368421052631579,14,19,0.9,1.0,0.2,0,0.0
20,1789304121.7785587,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.01007,0.98349,0.00644,0.09518,ood,1.88264,0.88102,0.88102,2.50717,2.0,2.4614,0.7,0.688888888888889,0.5,0.7,0.7,0.7,14,20,0.9,1.0,0.16666666666666666,0.7,0.688888888888889,0.5,0.7,0.7,0.7,14,20,0.9,1.0,0.16666666666666666,0,0.0
21,1789304121.7793188,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.0027,0.99113,0.00617,0.05617,ood,1.92826,1.01608,1.01608,2.40519,,,0.7142857142857143,0.688888888888889,0.5454545454545454,0.75,0.7142857142857143,0.7142857142857143,15,21,0.9,1.0,0.16666666666666666,0.7142857142857143,0.688888888888889,0.5454545454545454,0.75,0.7142857142857143,0.7142857142857143,15,21,0.9,1.0,0.16666666666666666,0,0.0
22,1789304121.7802465,dots_0_2_stage2_2_ood,ood_eval,0,2,0,0,-1.0,0.0247,0.96927,0.00603,0.15248,ood,2.05046,0.91728,0.91728,2.61586,2.23607,2.2376,0.6818181818181818,0.6809523809523809,0.5,0.7,0.6818181818181818,0.6818181818181818,15,22,0.9,1.0,0.14285714285714285,0.6818181818181818,0.6809523809523809,0.5,0.7,0.6818181818181818,0.6818181818181818,15,22,0.9,1.0,0.14285714285714285,0,0.0
23,1789304121.781005,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.004,0.99007,0.00593,0.06238,ood,2.08476,0.92204,0.92204,2.63572,,,0.6956521739130435,0.6809523809523809,0.5384615384615384,0.75,0.6956521739130435,0.6956521739130435,16,23,0.9,1.0,0.14285714285714285,0.6956521739130435,0.6809523809523809,0.5384615384615384,0.75,0.6956521739130435,0.6956521739130435,16,23,0.9,1.0,0.14285714285714285,0,0.0
24,1789304121.7818484,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.0087,0.98805,0.00325,0.0718,ood,2.13134,1.93541,1.93541,2.63605,2.0,2.57408,0.6666666666666666,0.6749999999999999,0.5,0.7,0.6666666666666666,0.6666666666666666,16,24,0.9,1.0,0.125,0.6666666666666666,0.6749999999999999,0.5,0.7,0.6666666666666666,0.6666666666666666,16,24,0.9,1.0,0.125,0,0.0
25,1789304122.0376737,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.04245,0.94432,0.01323,0.24546,ood,2.1155,1.01597,1.01597,2.58703,2.23607,2.46659,0.64,0.6703703703703704,0.4666666666666667,0.65,0.64,0.64,16,25,0.9,1.0,0.1111111111111111,0.64,0.6703703703703704,0.4666666666666667,0.65,0.64,0.64,16,25,0.9,1.0,0.1111111111111111,0,0.0
26,1789304122.039277,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.00197,0.99214,0.00589,0.05035,ood,2.14521,0.94384,0.94384,2.69859,,,0.6538461538461539,0.6703703703703704,0.5,0.65,0.6538461538461539,0.6538461538461539,17,26,0.9,1.0,0.1111111111111111,0.6538461538461539,0.6703703703703704,0.5,0.65,0.6538461538461539,0.6538461538461539,17,26,0.9,1.0,0.1111111111111111,0,0.0
27,1789304122.0403268,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.06204,0.81146,0.1265,0.60355,ood,1.94403,0.95888,0.95888,2.49182,2.23607,2.6879,0.6296296296296297,0.6666666666666666,0.47058823529411764,0.65,0.6296296296296297,0.6296296296296297,17,27,0.9,1.0,0.1,0.6296296296296297,0.6666666666666666,0.47058823529411764,0.65,0.6296296296296297,0.6296296296296297,17,27,0.9,1.0,0.1,0,0.0
28,1789304122.0411491,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.00538,0.99154,0.00309,0.05436,ood,2.10747,1.98342,1.98342,2.56214,,,0.6428571428571429,0.6666666666666666,0.5,0.65,0.6428571428571429,0.6428571428571429,18,28,0.9,1.0,0.1,0.6428571428571429,0.6666666666666666,0.5,0.65,0.6428571428571429,0.6428571428571429,18,28,0.9,1.0,0.1,0,0.0
29,1789304122.0418785,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.03297,0.83354,0.13349,0.53307,ood,1.96373,0.91646,0.91646,2.41095,,,0.6551724137931034,0.6666666666666666,0.5263157894736842,0.65,0.6551724137931034,0.6551724137931034,19,29,0.9,1.0,0.1,0.6551724137931034,0.6666666666666666,0.5263157894736842,0.65,0.6551724137931034,0.6551724137931034,19,29,0.9,1.0,0.1,0,0.0
30,1789304122.0425184,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94863,0.02488,0.02649,0.2381,ood,0.0,0.0,0.0,0.46895,,,0.6666666666666666,0.6696969696969698,0.5263157894736842,0.65,0.6666666666666666,0.6666666666666666,20,30,0.9090909090909091,1.0,0.1,0.6666666666666666,0.6696969696969698,0.5263157894736842,0.65,0.6666666666666666,0.6666666666666666,20,30,0.9090909090909091,1.0,0.1,0,0.0
31,1789304122.0432653,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.0428,0.93862,0.01858,0.26839,ood,1.92211,0.933,0.933,2.37758,2.0,2.23334,0.6451612903225806,0.6666666666666666,0.5,0.6,0.6451612903225806,0.6451612903225806,20,31,0.9090909090909091,1.0,0.09090909090909091,0.6451612903225806,0.6666666666666666,0.5,0.6,0.6451612903225806,0.6451612903225806,20,31,0.9090909090909091,1.0,0.09090909090909091,0,0.0
32,1789304122.0440457,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.9398,0.02843,0.03177,0.26916,ood,0.0,0.0,0.0,0.70138,,,0.65625,0.6691919191919191,0.5,0.6,0.65625,0.65625,21,32,0.9166666666666666,1.0,0.09090909090909091,0.65625,0.6691919191919191,0.5,0.6,0.65625,0.65625,21,32,0.9166666666666666,1.0,0.09090909090909091,0,0.0
