trial,timestamp,phase,trial_kind,learning_enabled,target,answer,correct,reward,p0,p1,p2,policy_entropy,stimulus_profile,signal_energy,area_factor,requested_area_factor,post_noise_energy,min_pair_distance,gain_ratio,overall,balanced_accuracy,one_vs_two_accuracy,recent_20,recent_100,recent_500,successes,attempts,target_0_accuracy,target_1_accuracy,target_2_accuracy,probe_overall,probe_balanced_accuracy,probe_one_vs_two_accuracy,probe_recent_20,probe_recent_100,probe_recent_500,probe_successes,probe_attempts,probe_target_0_accuracy,probe_target_1_accuracy,probe_target_2_accuracy,active_synapses,mean_delta_w
8077,1789304297.7580335,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94154,0.03385,0.02461,0.26251,ood,0.0,0.0,0.0,0.59006,,,0.641698650489043,0.6441839660627076,0.48962194217939214,0.65,0.65,0.652,5183,8077,0.9477806788511749,0.9309958970533383,0.053775322283609574,0.641698650489043,0.6441839660627076,0.48962194217939214,0.65,0.65,0.652,5183,8077,0.9477806788511749,0.9309958970533383,0.053775322283609574,0,0.0
8078,1789304297.7590194,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.93174,0.03522,0.03304,0.29638,ood,0.0,0.0,0.0,0.67792,,,0.6417430056944788,0.644190456159793,0.48962194217939214,0.7,0.65,0.652,5184,8078,0.947800149142431,0.9309958970533383,0.053775322283609574,0.6417430056944788,0.644190456159793,0.48962194217939214,0.7,0.65,0.652,5184,8078,0.947800149142431,0.9309958970533383,0.053775322283609574,0,0.0
8079,1789304297.7598782,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.01404,0.97649,0.00947,0.12723,ood,1.85687,2.00841,2.00841,2.4131,,,0.6417873499195444,0.6441990323595129,0.48971650917176207,0.7,0.66,0.652,5185,8079,0.947800149142431,0.9310216256524981,0.053775322283609574,0.6417873499195444,0.6441990323595129,0.48971650917176207,0.7,0.66,0.652,5185,8079,0.947800149142431,0.9310216256524981,0.053775322283609574,0,0.0
8080,1789304297.7607648,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.03267,0.95171,0.01562,0.22384,ood,2.05027,1.9435,1.9435,2.6374,,,0.6418316831683168,0.6442076021662401,0.4898110411263431,0.75,0.66,0.654,5186,8080,0.947800149142431,0.9310473350726798,0.053775322283609574,0.6418316831683168,0.6442076021662401,0.4898110411263431,0.75,0.66,0.654,5186,8080,0.947800149142431,0.9310473350726798,0.053775322283609574,0,0.0
8081,1789304297.7614589,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.9425,0.0326,0.0249,0.25937,ood,0.0,0.0,0.0,0.61299,,,0.6418760054448707,0.6442140874253851,0.4898110411263431,0.75,0.66,0.654,5187,8081,0.9478196049198658,0.9310473350726798,0.053775322283609574,0.6418760054448707,0.6442140874253851,0.4898110411263431,0.75,0.66,0.654,5187,8081,0.9478196049198658,0.9310473350726798,0.053775322283609574,0,0.0
8082,1789304297.7622125,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.0136,0.98237,0.00403,0.09816,ood,2.12503,2.02512,2.02512,2.6506,2.23607,1.91845,0.641796585003712,0.6442074876067444,0.48972031857751436,0.75,0.65,0.654,5187,8082,0.9478196049198658,0.9310473350726798,0.05375552282768778,0.641796585003712,0.6442074876067444,0.48972031857751436,0.75,0.65,0.654,5187,8082,0.9478196049198658,0.9310473350726798,0.05375552282768778,0,0.0
8083,1789304297.7631536,dots_0_2_stage2_2_ood,ood_eval,0,2,2,1,1.0,0.16795,0.75762,0.07443,0.70329,ood,1.85009,1.0027,1.0027,2.35938,2.0,2.186,0.6418409006556971,0.6443235769794806,0.4898148148148148,0.75,0.65,0.656,5188,8083,0.9478196049198658,0.9310473350726798,0.05410379094589621,0.6418409006556971,0.6443235769794806,0.4898148148148148,0.75,0.65,0.656,5188,8083,0.9478196049198658,0.9310473350726798,0.05410379094589621,0,0.0
8084,1789304297.7644503,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.07868,0.70656,0.21476,0.7758,ood,1.93777,2.0212,2.0212,2.41869,2.0,2.62488,0.6417615042058387,0.6443169417340863,0.48972412516200703,0.75,0.64,0.654,5188,8084,0.9478196049198658,0.9310473350726798,0.05408388520971302,0.6417615042058387,0.6443169417340863,0.48972412516200703,0.75,0.64,0.654,5188,8084,0.9478196049198658,0.9310473350726798,0.05408388520971302,0,0.0
8085,1789304297.7657003,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.06086,0.89532,0.04382,0.40641,ood,1.94258,2.02391,2.02391,2.58047,2.0,2.21066,0.6416821273964131,0.644310311369343,0.48963346908552385,0.75,0.63,0.652,5188,8085,0.9478196049198658,0.9310473350726798,0.054063994115483634,0.6416821273964131,0.644310311369343,0.48963346908552385,0.75,0.63,0.652,5188,8085,0.9478196049198658,0.9310473350726798,0.054063994115483634,0,0.0
8086,1789304297.766343,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94769,0.02826,0.02404,0.24135,ood,0.0,0.0,0.0,0.54301,,,0.6417264407618105,0.6443167917959551,0.48963346908552385,0.75,0.64,0.652,5189,8086,0.9478390461997019,0.9310473350726798,0.054063994115483634,0.6417264407618105,0.6443167917959551,0.48963346908552385,0.75,0.64,0.652,5189,8086,0.9478390461997019,0.9310473350726798,0.054063994115483634,0,0.0
8087,1789304297.7670274,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.00421,0.99095,0.00484,0.05782,ood,2.1099,0.98789,0.98789,2.5872,2.23607,1.97567,0.6416470879188821,0.6443101663064802,0.4895428465667222,0.7,0.64,0.65,5189,8087,0.9478390461997019,0.9310473350726798,0.054044117647058826,0.6416470879188821,0.6443101663064802,0.4895428465667222,0.7,0.64,0.65,5189,8087,0.9478390461997019,0.9310473350726798,0.054044117647058826,0,0.0
8088,1789304297.7676451,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.9452,0.02578,0.02902,0.2503,ood,0.0,0.0,0.0,0.49327,,,0.6416913946587537,0.6443166419059588,0.4895428465667222,0.7,0.64,0.652,5190,8088,0.9478584729981379,0.9310473350726798,0.054044117647058826,0.6416913946587537,0.6443166419059588,0.4895428465667222,0.7,0.64,0.652,5190,8088,0.9478584729981379,0.9310473350726798,0.054044117647058826,0,0.0
8089,1789304298.0132172,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.00139,0.99763,0.00097,0.01828,ood,1.94003,0.90374,0.90374,2.39307,,,0.6417356904438126,0.644325205326839,0.4896373056994819,0.7,0.65,0.652,5191,8089,0.9478584729981379,0.9310730253353204,0.054044117647058826,0.6417356904438126,0.644325205326839,0.4896373056994819,0.7,0.65,0.652,5191,8089,0.9478584729981379,0.9310730253353204,0.054044117647058826,0,0.0
8090,1789304298.0140016,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.00396,0.99352,0.00253,0.04345,ood,2.09094,2.00667,2.00667,2.64846,2.82843,2.15435,0.6416563658838071,0.6443185847072571,0.48954671600370026,0.65,0.65,0.652,5191,8090,0.9478584729981379,0.9310730253353204,0.05402425578831312,0.6416563658838071,0.6443185847072571,0.48954671600370026,0.65,0.65,0.652,5191,8090,0.9478584729981379,0.9310730253353204,0.05402425578831312,0,0.0
8091,1789304298.014646,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.93701,0.03142,0.03157,0.27876,ood,0.0,0.0,0.0,0.67006,,,0.6417006550488197,0.6443250554849937,0.48954671600370026,0.65,0.65,0.654,5192,8091,0.9478778853313478,0.9310730253353204,0.05402425578831312,0.6417006550488197,0.6443250554849937,0.48954671600370026,0.65,0.65,0.654,5192,8091,0.9478778853313478,0.9310730253353204,0.05402425578831312,0,0.0
8092,1789304298.0152166,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.9466,0.02742,0.02598,0.2454,ood,0.0,0.0,0.0,0.55039,,,0.6417449332674247,0.6443315214463718,0.48954671600370026,0.7,0.65,0.654,5193,8092,0.947897283215482,0.9310730253353204,0.05402425578831312,0.6417449332674247,0.6443315214463718,0.48954671600370026,0.7,0.65,0.654,5193,8092,0.947897283215482,0.9310730253353204,0.05402425578831312,0,0.0
8093,1789304298.0158327,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.00176,0.99238,0.00585,0.04885,ood,2.02987,0.98339,0.98339,2.61167,,,0.6417892005436797,0.64434007848854,0.48964113947465776,0.7,0.65,0.654,5194,8093,0.947897283215482,0.931098696461825,0.05402425578831312,0.6417892005436797,0.64434007848854,0.48964113947465776,0.7,0.65,0.654,5194,8093,0.947897283215482,0.931098696461825,0.05402425578831312,0,0.0
8094,1789304298.0164194,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94194,0.02806,0.03,0.2618,ood,0.0,0.0,0.0,0.5478,,,0.6418334568816407,0.6443465396389348,0.48964113947465776,0.7,0.65,0.656,5195,8094,0.9479166666666666,0.931098696461825,0.05402425578831312,0.6418334568816407,0.6443465396389348,0.48964113947465776,0.7,0.65,0.656,5195,8094,0.9479166666666666,0.931098696461825,0.05402425578831312,0,0.0
8095,1789304298.0170581,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.16265,0.7514,0.08594,0.72108,ood,1.86448,1.9321,1.9321,2.26074,2.23607,2.24711,0.6417541692402717,0.6443399238838788,0.48955058257813944,0.65,0.64,0.656,5195,8095,0.9479166666666666,0.931098696461825,0.05400440852314475,0.6417541692402717,0.6443399238838788,0.48955058257813944,0.65,0.64,0.656,5195,8095,0.9479166666666666,0.931098696461825,0.05400440852314475,0,0.0
8096,1789304298.0176656,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94301,0.02903,0.02796,0.2581,ood,0.0,0.0,0.0,0.60017,,,0.641798418972332,0.6443463802286579,0.48955058257813944,0.7,0.64,0.656,5196,8096,0.947936035701004,0.931098696461825,0.05400440852314475,0.641798418972332,0.6443463802286579,0.48955058257813944,0.7,0.64,0.656,5196,8096,0.947936035701004,0.931098696461825,0.05400440852314475,0,0.0
8097,1789304298.0189648,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.11514,0.68181,0.20304,0.83375,ood,1.86222,0.92851,0.92851,2.20916,2.23607,2.22089,0.6417191552426825,0.6443397693327683,0.48946005917159763,0.65,0.63,0.654,5196,8097,0.947936035701004,0.931098696461825,0.05398457583547558,0.6417191552426825,0.6443397693327683,0.48946005917159763,0.65,0.63,0.654,5196,8097,0.947936035701004,0.931098696461825,0.05398457583547558,0,0.0
8098,1789304298.0198748,dots_0_2_stage2_2_ood,ood_eval,0,2,2,1,1.0,0.03387,0.95267,0.01346,0.21886,ood,1.98626,0.96049,0.96049,2.45416,2.0,2.26206,0.6417633983699679,0.6444555323557938,0.489554446293215,0.65,0.63,0.656,5197,8098,0.947936035701004,0.931098696461825,0.05433186490455213,0.6417633983699679,0.6444555323557938,0.489554446293215,0.65,0.63,0.656,5197,8098,0.947936035701004,0.931098696461825,0.05433186490455213,0,0.0
8099,1789304298.0205407,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.01749,0.97756,0.00495,0.11922,ood,1.92261,1.92868,1.92868,2.41977,,,0.6418076305716756,0.6444640830263743,0.4896487985212569,0.65,0.63,0.658,5198,8099,0.947936035701004,0.9311243484735666,0.05433186490455213,0.6418076305716756,0.6444640830263743,0.4896487985212569,0.65,0.63,0.658,5198,8099,0.947936035701004,0.9311243484735666,0.05433186490455213,0,0.0
8100,1789304298.0211828,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.01213,0.98208,0.0058,0.10113,ood,1.97789,2.01237,2.01237,2.64837,,,0.6418518518518519,0.644472627332481,0.4897431158750693,0.65,0.64,0.66,5199,8100,0.947936035701004,0.9311499813918869,0.05433186490455213,0.6418518518518519,0.644472627332481,0.4897431158750693,0.65,0.64,0.66,5199,8100,0.947936035701004,0.9311499813918869,0.05433186490455213,0,0.0
8101,1789304298.2778654,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.9457,0.03028,0.02402,0.24825,ood,0.0,0.0,0.0,0.56024,,,0.6418960622145414,0.6444790788770038,0.4897431158750693,0.65,0.64,0.662,5200,8101,0.9479553903345725,0.9311499813918869,0.05433186490455213,0.6418960622145414,0.6444790788770038,0.4897431158750693,0.65,0.64,0.662,5200,8101,0.9479553903345725,0.9311499813918869,0.05433186490455213,0,0.0
8102,1789304298.2786288,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.02151,0.9485,0.02999,0.23789,ood,1.88199,1.00229,1.00229,2.31044,,,0.6419402616637867,0.64448761682574,0.4898373983739837,0.7,0.64,0.662,5201,8102,0.9479553903345725,0.9311755952380952,0.05433186490455213,0.6419402616637867,0.64448761682574,0.4898373983739837,0.7,0.64,0.662,5201,8102,0.9479553903345725,0.9311755952380952,0.05433186490455213,0,0.0
8103,1789304298.2792299,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94545,0.02681,0.02775,0.24951,ood,0.0,0.0,0.0,0.50431,,,0.6419844502036283,0.6444940635753579,0.4898373983739837,0.7,0.65,0.662,5202,8103,0.9479747305834262,0.9311755952380952,0.05433186490455213,0.6419844502036283,0.6444940635753579,0.4898373983739837,0.7,0.65,0.662,5202,8103,0.9479747305834262,0.9311755952380952,0.05433186490455213,0,0.0
8104,1789304298.2800245,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94723,0.02531,0.02746,0.24312,ood,0.0,0.0,0.0,0.46752,,,0.6420286278381047,0.6445005055354144,0.4898373983739837,0.75,0.66,0.662,5203,8104,0.9479940564635958,0.9311755952380952,0.05433186490455213,0.6420286278381047,0.6445005055354144,0.4898373983739837,0.75,0.66,0.662,5203,8104,0.9479940564635958,0.9311755952380952,0.05433186490455213,0,0.0
8105,1789304298.280854,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.02885,0.94462,0.02653,0.25238,ood,2.00697,1.92723,1.92723,2.56135,,,0.6420727945712523,0.6445090371338725,0.4899316460373176,0.8,0.67,0.662,5204,8105,0.9479940564635958,0.9312011900334697,0.05433186490455213,0.6420727945712523,0.6445090371338725,0.4899316460373176,0.8,0.67,0.662,5204,8105,0.9479940564635958,0.9312011900334697,0.05433186490455213,0,0.0
8106,1789304298.2815259,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.00078,0.99798,0.00124,0.01593,ood,2.03106,0.88567,0.88567,2.48768,,,0.6421169504071058,0.6445175623891348,0.49002585888437383,0.8,0.68,0.662,5205,8106,0.9479940564635958,0.9312267657992565,0.05433186490455213,0.6421169504071058,0.6445175623891348,0.49002585888437383,0.8,0.68,0.662,5205,8106,0.9479940564635958,0.9312267657992565,0.05433186490455213,0,0.0
8107,1789304298.2821722,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.93979,0.02951,0.0307,0.26927,ood,0.0,0.0,0.0,0.63511,,,0.6421610953496978,0.6445239995649655,0.49002585888437383,0.85,0.68,0.664,5206,8107,0.948013367991088,0.9312267657992565,0.05433186490455213,0.6421610953496978,0.6445239995649655,0.49002585888437383,0.85,0.68,0.664,5206,8107,0.948013367991088,0.9312267657992565,0.05433186490455213,0,0.0
8108,1789304298.2827969,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.01261,0.80553,0.18186,0.53933,ood,2.04496,0.95918,0.95918,2.66955,,,0.6422052294030587,0.6445325184841035,0.4901200369344414,0.85,0.69,0.664,5207,8108,0.948013367991088,0.9312523225566703,0.05433186490455213,0.6422052294030587,0.6445325184841035,0.4901200369344414,0.85,0.69,0.664,5207,8108,0.948013367991088,0.9312523225566703,0.05433186490455213,0,0.0
8109,1789304298.283439,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.00378,0.98529,0.01093,0.08504,ood,2.04536,1.01039,1.01039,2.57223,,,0.6422493525712172,0.6445410310741783,0.4902141802067947,0.85,0.7,0.664,5208,8109,0.948013367991088,0.9312778603268945,0.05433186490455213,0.6422493525712172,0.6445410310741783,0.4902141802067947,0.85,0.7,0.664,5208,8109,0.948013367991088,0.9312778603268945,0.05433186490455213,0,0.0
8110,1789304298.284155,dots_0_2_stage2_2_ood,ood_eval,0,2,2,1,1.0,0.05565,0.77695,0.1674,0.65605,ood,2.0778,1.98014,1.98014,2.49761,2.23607,2.39236,0.6422934648581997,0.6446567091335171,0.4903082887206941,0.9,0.71,0.666,5209,8110,0.948013367991088,0.9312778603268945,0.05467889908256881,0.6422934648581997,0.6446567091335171,0.4903082887206941,0.9,0.71,0.666,5209,8110,0.948013367991088,0.9312778603268945,0.05467889908256881,0,0.0
8111,1789304298.2848275,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.00349,0.98782,0.00869,0.07309,ood,1.93557,0.97911,0.97911,2.49989,,,0.6423375662680311,0.6446652154015792,0.49040236249538577,0.9,0.71,0.666,5210,8111,0.948013367991088,0.9313033791310806,0.05467889908256881,0.6423375662680311,0.6446652154015792,0.49040236249538577,0.9,0.71,0.666,5210,8111,0.948013367991088,0.9313033791310806,0.05467889908256881,0,0.0
8112,1789304298.2854946,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94702,0.02872,0.02426,0.24374,ood,0.0,0.0,0.0,0.48418,,,0.6423816568047337,0.6446716477985117,0.49040236249538577,0.9,0.71,0.666,5211,8112,0.9480326651818857,0.9313033791310806,0.05467889908256881,0.6423816568047337,0.6446716477985117,0.49040236249538577,0.9,0.71,0.666,5211,8112,0.9480326651818857,0.9313033791310806,0.05467889908256881,0,0.0
8113,1789304298.5428793,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.01759,0.96653,0.01588,0.16975,ood,2.02122,0.95994,0.95994,2.69872,2.0,1.94141,0.6423024775052385,0.6446649617017787,0.49031186565787044,0.85,0.7,0.666,5211,8113,0.9480326651818857,0.9313033791310806,0.054658840792369774,0.6423024775052385,0.6446649617017787,0.49031186565787044,0.85,0.7,0.666,5211,8113,0.9480326651818857,0.9313033791310806,0.054658840792369774,0,0.0
8114,1789304298.5436053,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.06273,0.83407,0.1032,0.5594,ood,2.07322,2.03858,2.03858,2.55567,,,0.6423465614986443,0.644673461654868,0.4904059040590406,0.85,0.7,0.666,5212,8114,0.9480326651818857,0.9313288789903489,0.054658840792369774,0.6423465614986443,0.644673461654868,0.4904059040590406,0.85,0.7,0.666,5212,8114,0.9480326651818857,0.9313288789903489,0.054658840792369774,0,0.0
8115,1789304298.5442178,dots_0_2_stage2_2_ood,ood_eval,0,0,1,0,-1.0,0.94208,0.02842,0.0295,0.26134,ood,0.0,0.0,0.0,0.64565,,,0.6422674060382009,0.6445562034402507,0.4904059040590406,0.85,0.69,0.664,5212,8115,0.9476808905380334,0.9313288789903489,0.054658840792369774,0.6422674060382009,0.6445562034402507,0.4904059040590406,0.85,0.69,0.664,5212,8115,0.9476808905380334,0.9313288789903489,0.054658840792369774,0,0.0
8116,1789304298.5447845,dots_0_2_stage2_2_ood,ood_eval,0,0,1,0,-1.0,0.94772,0.0247,0.02759,0.24135,ood,0.0,0.0,0.0,0.50887,,,0.6421882700837851,0.6444390322124394,0.4904059040590406,0.8,0.68,0.664,5212,8116,0.9473293768545994,0.9313288789903489,0.054658840792369774,0.6421882700837851,0.6444390322124394,0.4904059040590406,0.8,0.68,0.664,5212,8116,0.9473293768545994,0.9313288789903489,0.054658840792369774,0,0.0
8117,1789304298.545342,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.9443,0.029,0.02671,0.25353,ood,0.0,0.0,0.0,0.67519,,,0.6422323518541333,0.6444455419915947,0.4904059040590406,0.85,0.69,0.664,5213,8117,0.9473489061920652,0.9313288789903489,0.054658840792369774,0.6422323518541333,0.6444455419915947,0.4904059040590406,0.85,0.69,0.664,5213,8117,0.9473489061920652,0.9313288789903489,0.054658840792369774,0,0.0
8118,1789304298.5459516,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.01773,0.97363,0.00864,0.13858,ood,2.08401,1.90464,1.90464,2.53069,,,0.6422764227642277,0.6444540356367412,0.4904999077660948,0.85,0.69,0.664,5214,8118,0.9473489061920652,0.9313543599257885,0.054658840792369774,0.6422764227642277,0.6444540356367412,0.4904999077660948,0.85,0.69,0.664,5214,8118,0.9473489061920652,0.9313543599257885,0.054658840792369774,0,0.0
8119,1789304298.5467584,dots_0_2_stage2_2_ood,ood_eval,0,1,2,0,-1.0,0.07772,0.81967,0.10261,0.59517,ood,2.01823,1.96065,1.96065,2.3981,,,0.6421973149402636,0.6443388830205288,0.4904094430099594,0.8,0.68,0.662,5214,8119,0.9473489061920652,0.9310089020771514,0.054658840792369774,0.6421973149402636,0.6443388830205288,0.4904094430099594,0.8,0.68,0.662,5214,8119,0.9473489061920652,0.9310089020771514,0.054658840792369774,0,0.0
8120,1789304298.5475802,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.09232,0.75632,0.15137,0.71697,ood,1.95263,1.90033,1.90033,2.51989,,,0.6422413793103449,0.6443474099143519,0.4905034113959063,0.8,0.68,0.662,5215,8120,0.9473489061920652,0.9310344827586207,0.054658840792369774,0.6422413793103449,0.6443474099143519,0.4905034113959063,0.8,0.68,0.662,5215,8120,0.9473489061920652,0.9310344827586207,0.054658840792369774,0,0.0
8121,1789304298.548292,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.02272,0.93865,0.03862,0.27109,ood,2.11636,1.91351,1.91351,2.44545,,,0.6422854328284694,0.6443559304872752,0.4905973451327434,0.8,0.69,0.662,5216,8121,0.9473489061920652,0.9310600444773907,0.054658840792369774,0.6422854328284694,0.6443559304872752,0.4905973451327434,0.8,0.69,0.662,5216,8121,0.9473489061920652,0.9310600444773907,0.054658840792369774,0,0.0
8122,1789304298.5488877,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94793,0.02701,0.02506,0.24064,ood,0.0,0.0,0.0,0.48654,,,0.6423294754986456,0.6443624354407973,0.4905973451327434,0.8,0.7,0.662,5217,8122,0.9473684210526315,0.9310600444773907,0.054658840792369774,0.6423294754986456,0.6443624354407973,0.4905973451327434,0.8,0.7,0.662,5217,8122,0.9473684210526315,0.9310600444773907,0.054658840792369774,0,0.0
8123,1789304298.5496361,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.01824,0.97842,0.00334,0.11341,ood,2.07016,1.94186,1.94186,2.6036,2.23607,2.5912,0.6422504000984858,0.6443557542476922,0.4905069124423963,0.75,0.7,0.66,5217,8123,0.9473684210526315,0.9310600444773907,0.05463879721305464,0.6422504000984858,0.6443557542476922,0.4905069124423963,0.75,0.7,0.66,5217,8123,0.9473684210526315,0.9310600444773907,0.05463879721305464,0,0.0
8124,1789304298.550253,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94079,0.0293,0.0299,0.26582,ood,0.0,0.0,0.0,0.54552,,,0.6422944362383063,0.644362254380945,0.4905069124423963,0.75,0.7,0.662,5218,8124,0.9473879214523898,0.9310600444773907,0.05463879721305464,0.6422944362383063,0.644362254380945,0.4905069124423963,0.75,0.7,0.662,5218,8124,0.9473879214523898,0.9310600444773907,0.05463879721305464,0,0.0
8125,1789304298.8064263,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.04733,0.88243,0.07024,0.4413,ood,2.09294,0.90747,0.90747,2.65091,2.82843,2.61623,0.6422153846153846,0.6443555780860754,0.4904165130851456,0.7,0.69,0.66,5218,8125,0.9473879214523898,0.9310600444773907,0.05461876832844575,0.6422153846153846,0.6443555780860754,0.4904165130851456,0.7,0.69,0.66,5218,8125,0.9473879214523898,0.9310600444773907,0.05461876832844575,0,0.0
8126,1789304298.8076904,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.04698,0.77359,0.17943,0.6505,ood,2.05857,0.91026,0.91026,2.51177,2.82843,2.70329,0.6421363524489294,0.6443489066840565,0.49032614704256494,0.65,0.68,0.66,5218,8126,0.9473879214523898,0.9310600444773907,0.054598754122389154,0.6421363524489294,0.6443489066840565,0.49032614704256494,0.65,0.68,0.66,5218,8126,0.9473879214523898,0.9310600444773907,0.054598754122389154,0,0.0
8127,1789304298.8085482,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.0204,0.97402,0.00558,0.13399,ood,2.09075,2.0483,2.0483,2.64871,2.23607,2.408,0.6420573397317584,0.6443422401695117,0.4902358142962417,0.6,0.67,0.658,5218,8127,0.9473879214523898,0.9310600444773907,0.05457875457875458,0.6420573397317584,0.6443422401695117,0.4902358142962417,0.6,0.67,0.658,5218,8127,0.9473879214523898,0.9310600444773907,0.05457875457875458,0,0.0
8128,1789304298.8092887,dots_0_2_stage2_2_ood,ood_eval,0,2,2,1,1.0,0.06579,0.8446,0.08961,0.53784,ood,2.08258,1.91066,1.91066,2.56473,2.82843,2.12275,0.6421013779527559,0.6444576339502296,0.4903297108123043,0.6,0.68,0.66,5219,8128,0.9473879214523898,0.9310600444773907,0.054924935920908094,0.6421013779527559,0.6444576339502296,0.4903297108123043,0.6,0.68,0.66,5219,8128,0.9473879214523898,0.9310600444773907,0.054924935920908094,0,0.0
8129,1789304298.810062,dots_0_2_stage2_2_ood,ood_eval,0,2,2,1,1.0,0.02967,0.31523,0.65509,0.74538,ood,2.11392,0.97441,0.97441,2.62323,2.23607,2.38974,0.6421454053389101,0.644572943255266,0.4904235727440147,0.6,0.68,0.66,5220,8129,0.9473879214523898,0.9310600444773907,0.05527086383601757,0.6421454053389101,0.644572943255266,0.4904235727440147,0.6,0.68,0.66,5220,8129,0.9473879214523898,0.9310600444773907,0.05527086383601757,0,0.0
8130,1789304298.8107285,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.03891,0.89419,0.0669,0.40727,ood,1.99646,0.90339,0.90339,2.51182,,,0.6421894218942189,0.6445814575143154,0.4905174001104769,0.6,0.68,0.66,5221,8130,0.9473879214523898,0.9310855872545387,0.05527086383601757,0.6421894218942189,0.6445814575143154,0.4905174001104769,0.6,0.68,0.66,5221,8130,0.9473879214523898,0.9310855872545387,0.05527086383601757,0,0.0
8131,1789304298.8113532,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94014,0.02725,0.03261,0.26782,ood,0.0,0.0,0.0,0.66666,,,0.6422334276226787,0.6445879528326546,0.4905174001104769,0.6,0.68,0.66,5222,8131,0.9474074074074074,0.9310855872545387,0.05527086383601757,0.6422334276226787,0.6445879528326546,0.4905174001104769,0.6,0.68,0.66,5222,8131,0.9474074074074074,0.9310855872545387,0.05527086383601757,0,0.0
8132,1789304298.81196,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.00857,0.98904,0.00239,0.06612,ood,1.8648,0.90522,0.90522,2.31546,,,0.6422774225282833,0.6445964607848453,0.49061119293078054,0.6,0.68,0.66,5223,8132,0.9474074074074074,0.9311111111111111,0.05527086383601757,0.6422774225282833,0.6445964607848453,0.49061119293078054,0.6,0.68,0.66,5223,8132,0.9474074074074074,0.9311111111111111,0.05527086383601757,0,0.0
