trial,timestamp,phase,target,answer,correct,reward,p0,p1,p2,policy_entropy,overall,recent_20,recent_100,recent_500,successes,attempts,target_0_accuracy,target_1_accuracy,target_2_accuracy,active_synapses,mean_delta_w
1,1789300859.9485502,dots_0_2,1,0,0,-1.0,0.33399,0.33468,0.33134,1.0986,0.0,0.0,0.0,0.0,0,1,,0.0,,198,0.011123
2,1789300859.9494243,dots_0_2,0,0,1,1.0,0.32759,0.33633,0.33608,1.09854,0.5,0.5,0.5,0.5,1,2,1.0,0.0,,198,0.001103
3,1789300859.9499648,dots_0_2,1,1,1,1.0,0.31624,0.34405,0.33972,1.09794,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,3,1.0,0.5,,198,0.012749
4,1789300859.9505103,dots_0_2,2,2,1,1.0,0.26524,0.44712,0.28764,1.07032,0.75,0.75,0.75,0.75,3,4,1.0,0.5,1.0,198,0.019819
5,1789300859.951171,dots_0_2,2,0,0,-1.0,0.25325,0.33027,0.41647,1.0785,0.6,0.6,0.6,0.6,3,5,1.0,0.5,0.5,198,0.024352
6,1789300860.0655048,dots_0_2,2,2,1,1.0,0.19715,0.36946,0.43339,1.05037,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,6,1.0,0.5,0.6666666666666666,198,0.017197
7,1789300860.0664473,dots_0_2,1,1,1,1.0,0.23912,0.33248,0.4284,1.0714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,7,1.0,0.6666666666666666,0.6666666666666666,198,0.01155
8,1789300860.0672476,dots_0_2,2,2,1,1.0,0.15729,0.3659,0.47681,1.01195,0.75,0.75,0.75,0.75,6,8,1.0,0.6666666666666666,0.75,198,0.016506
9,1789300860.0678525,dots_0_2,0,1,0,-1.0,0.30071,0.33729,0.362,1.09574,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,9,0.5,0.6666666666666666,0.75,198,0.001397
10,1789300860.0683792,dots_0_2,2,2,1,1.0,0.16778,0.30503,0.52719,0.99919,0.7,0.7,0.7,0.7,7,10,0.5,0.6666666666666666,0.8,198,0.014795
11,1789300860.1761134,dots_0_2,1,1,1,1.0,0.21601,0.30434,0.47965,1.04546,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,8,11,0.5,0.75,0.8,198,0.011567
12,1789300860.1774547,dots_0_2,2,1,0,-1.0,0.10012,0.22651,0.67337,0.83307,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,8,12,0.5,0.75,0.6666666666666666,198,0.027122
13,1789300860.1783507,dots_0_2,0,2,0,-1.0,0.30106,0.32445,0.37449,1.09444,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,8,13,0.3333333333333333,0.75,0.6666666666666666,198,0.00128
14,1789300860.17899,dots_0_2,0,2,0,-1.0,0.3049,0.32612,0.36897,1.09544,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,8,14,0.25,0.75,0.6666666666666666,198,0.001267
15,1789300860.179501,dots_0_2,0,0,1,1.0,0.31186,0.32973,0.35841,1.09697,0.6,0.6,0.6,0.6,9,15,0.4,0.75,0.6666666666666666,195,0.00113
16,1789300860.2884846,dots_0_2,2,2,1,1.0,0.15145,0.21275,0.6358,0.90306,0.625,0.625,0.625,0.625,10,16,0.4,0.75,0.7142857142857143,198,0.010415
17,1789300860.2895389,dots_0_2,2,2,1,1.0,0.13546,0.19506,0.66948,0.85824,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,11,17,0.4,0.75,0.75,198,0.009926
18,1789300860.2904255,dots_0_2,2,2,1,1.0,0.09863,0.14347,0.75791,0.71711,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,12,18,0.4,0.75,0.7777777777777778,198,0.007245
19,1789300860.2911994,dots_0_2,2,2,1,1.0,0.13866,0.1936,0.66773,0.86152,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,13,19,0.4,0.75,0.8,198,0.009078
20,1789300860.292421,dots_0_2,1,1,1,1.0,0.20564,0.22853,0.56583,0.98479,0.7,0.7,0.7,0.7,14,20,0.4,0.8,0.8,198,0.01526
21,1789300860.3970482,dots_0_2,2,1,0,-1.0,0.08675,0.11298,0.80028,0.63673,0.6666666666666666,0.7,0.6666666666666666,0.6666666666666666,14,21,0.4,0.8,0.7272727272727273,195,0.027293
22,1789300860.397864,dots_0_2,0,2,0,-1.0,0.3078,0.31365,0.37854,1.09408,0.6363636363636364,0.65,0.6363636363636364,0.6363636363636364,14,22,0.3333333333333333,0.8,0.7272727272727273,195,0.001051
23,1789300860.3984609,dots_0_2,2,2,1,1.0,0.10204,0.13113,0.76683,0.70288,0.6521739130434783,0.65,0.6521739130434783,0.6521739130434783,15,23,0.3333333333333333,0.8,0.75,192,0.007239
24,1789300860.399069,dots_0_2,2,0,0,-1.0,0.09822,0.1204,0.78138,0.67557,0.625,0.6,0.625,0.625,15,24,0.3333333333333333,0.8,0.6923076923076923,195,0.024878
25,1789300860.3996542,dots_0_2,0,0,1,1.0,0.29079,0.30452,0.40469,1.08735,0.64,0.65,0.64,0.64,16,25,0.42857142857142855,0.8,0.6923076923076923,198,0.001473
26,1789300860.5053396,dots_0_2,0,2,0,-1.0,0.29486,0.30788,0.39725,1.08953,0.6153846153846154,0.6,0.6153846153846154,0.6153846153846154,16,26,0.375,0.8,0.6923076923076923,198,0.001306
27,1789300860.5061548,dots_0_2,0,2,0,-1.0,0.29849,0.31159,0.38993,1.09144,0.5925925925925926,0.55,0.5925925925925926,0.5925925925925926,16,27,0.3333333333333333,0.8,0.6923076923076923,198,0.001131
28,1789300860.5067854,dots_0_2,2,2,1,1.0,0.0331,0.0294,0.9375,0.277,0.6071428571428571,0.55,0.6071428571428571,0.6071428571428571,17,28,0.3333333333333333,0.8,0.7142857142857143,198,0.002079
29,1789300860.5074463,dots_0_2,1,2,0,-1.0,0.15021,0.22767,0.62212,0.91695,0.5862068965517241,0.55,0.5862068965517241,0.5862068965517241,17,29,0.3333333333333333,0.6666666666666666,0.7142857142857143,195,0.00663
30,1789300860.508034,dots_0_2,1,1,1,1.0,0.18675,0.22249,0.59076,0.95868,0.6,0.55,0.6,0.6,18,30,0.3333333333333333,0.7142857142857143,0.7142857142857143,195,0.015389
31,1789300860.6146436,dots_0_2,2,2,1,1.0,0.08093,0.13562,0.78345,0.66563,0.6129032258064516,0.55,0.6129032258064516,0.6129032258064516,19,31,0.3333333333333333,0.7142857142857143,0.7333333333333333,198,0.006247
32,1789300860.6155758,dots_0_2,0,1,0,-1.0,0.30103,0.32291,0.37607,1.0942,0.59375,0.55,0.59375,0.59375,19,32,0.3,0.7142857142857143,0.7333333333333333,198,0.001288
33,1789300860.6162753,dots_0_2,2,2,1,1.0,0.0751,0.11382,0.81107,0.61162,0.6060606060606061,0.6,0.6060606060606061,0.6060606060606061,20,33,0.3,0.7142857142857143,0.75,198,0.005602
34,1789300860.6169107,dots_0_2,2,2,1,1.0,0.04693,0.10119,0.85188,0.51194,0.6176470588235294,0.65,0.6176470588235294,0.6176470588235294,21,34,0.3,0.7142857142857143,0.7647058823529411,198,0.004512
35,1789300860.6175232,dots_0_2,2,2,1,1.0,0.04957,0.07986,0.87057,0.47144,0.6285714285714286,0.65,0.6285714285714286,0.6285714285714286,22,35,0.3,0.7142857142857143,0.7777777777777778,198,0.003937
36,1789300860.7238812,dots_0_2,1,1,1,1.0,0.13527,0.23076,0.63397,0.89792,0.6388888888888888,0.65,0.6388888888888888,0.6388888888888888,23,36,0.3,0.75,0.7777777777777778,198,0.01395
37,1789300860.7250042,dots_0_2,0,0,1,1.0,0.29981,0.32385,0.37634,1.09407,0.6486486486486487,0.65,0.6486486486486487,0.6486486486486487,24,37,0.36363636363636365,0.75,0.7777777777777778,198,0.001265
38,1789300860.7257159,dots_0_2,2,2,1,1.0,0.05909,0.16336,0.77756,0.65875,0.6578947368421053,0.65,0.6578947368421053,0.6578947368421053,25,38,0.36363636363636365,0.75,0.7894736842105263,198,0.006182
39,1789300860.7263901,dots_0_2,2,2,1,1.0,0.04793,0.08885,0.86321,0.48769,0.6666666666666666,0.65,0.6666666666666666,0.6666666666666666,26,39,0.36363636363636365,0.75,0.8,198,0.003985
40,1789300860.7270086,dots_0_2,2,1,0,-1.0,0.04323,0.06106,0.89571,0.40516,0.65,0.6,0.65,0.65,26,40,0.36363636363636365,0.75,0.7619047619047619,198,0.029299
41,1789300860.8314393,dots_0_2,1,0,0,-1.0,0.1315,0.14957,0.71893,0.78821,0.6341463414634146,0.6,0.6341463414634146,0.6341463414634146,26,41,0.36363636363636365,0.6666666666666666,0.7619047619047619,198,0.015369
42,1789300860.8324862,dots_0_2,0,1,0,-1.0,0.28544,0.30129,0.41327,1.0845,0.6190476190476191,0.6,0.6190476190476191,0.6190476190476191,26,42,0.3333333333333333,0.6666666666666666,0.7619047619047619,198,0.001585
43,1789300860.833195,dots_0_2,0,0,1,1.0,0.29674,0.29986,0.40339,1.08789,0.627906976744186,0.6,0.627906976744186,0.627906976744186,27,43,0.38461538461538464,0.6666666666666666,0.7619047619047619,198,0.001355
44,1789300860.8337672,dots_0_2,0,1,0,-1.0,0.29689,0.2921,0.41101,1.08546,0.6136363636363636,0.6,0.6136363636363636,0.6136363636363636,27,44,0.35714285714285715,0.6666666666666666,0.7619047619047619,198,0.001491
45,1789300860.834307,dots_0_2,1,1,1,1.0,0.12718,0.15007,0.72275,0.78157,0.6222222222222222,0.6,0.6222222222222222,0.6222222222222222,28,45,0.35714285714285715,0.7,0.7619047619047619,198,0.016842
46,1789300860.9412642,dots_0_2,2,2,1,1.0,0.02071,0.02161,0.95768,0.20456,0.6304347826086957,0.65,0.6304347826086957,0.6304347826086957,29,46,0.35714285714285715,0.7,0.7727272727272727,198,0.001337
47,1789300860.942197,dots_0_2,0,2,0,-1.0,0.28904,0.29379,0.41717,1.08333,0.6170212765957447,0.65,0.6170212765957447,0.6170212765957447,29,47,0.3333333333333333,0.7,0.7727272727272727,198,0.00143
48,1789300860.9428148,dots_0_2,2,2,1,1.0,0.0454,0.0677,0.88691,0.42911,0.625,0.65,0.625,0.625,30,48,0.3333333333333333,0.7,0.782608695652174,198,0.00329
49,1789300860.943366,dots_0_2,0,2,0,-1.0,0.29573,0.29916,0.40511,1.08737,0.6122448979591837,0.65,0.6122448979591837,0.6122448979591837,30,49,0.3125,0.7,0.782608695652174,198,0.001189
50,1789300860.9438813,dots_0_2,2,1,0,-1.0,0.03959,0.06123,0.89918,0.39442,0.6,0.6,0.6,0.6,30,50,0.3125,0.7,0.75,198,0.028086
51,1789300861.0505176,dots_0_2,1,2,0,-1.0,0.17902,0.20315,0.61783,0.92926,0.5882352941176471,0.55,0.5882352941176471,0.5882352941176471,30,51,0.3125,0.6363636363636364,0.75,195,0.005059
52,1789300861.0514863,dots_0_2,0,0,1,1.0,0.30445,0.2973,0.39825,1.08936,0.5961538461538461,0.6,0.5961538461538461,0.5961538461538461,31,52,0.35294117647058826,0.6363636363636364,0.75,198,0.001402
53,1789300861.05218,dots_0_2,2,2,1,1.0,0.03239,0.0343,0.93331,0.29118,0.6037735849056604,0.6,0.6037735849056604,0.6037735849056604,32,53,0.35294117647058826,0.6363636363636364,0.76,198,0.001899
54,1789300861.0527894,dots_0_2,0,2,0,-1.0,0.30861,0.29436,0.39703,1.08957,0.5925925925925926,0.55,0.5925925925925926,0.5925925925925926,32,54,0.3333333333333333,0.6363636363636364,0.76,198,0.001153
55,1789300861.0533514,dots_0_2,2,0,0,-1.0,0.04147,0.04421,0.91432,0.35177,0.5818181818181818,0.5,0.5818181818181818,0.5818181818181818,32,55,0.3333333333333333,0.6363636363636364,0.7307692307692307,198,0.028895
56,1789300861.1604965,dots_0_2,2,2,1,1.0,0.01679,0.02669,0.95652,0.20784,0.5892857142857143,0.5,0.5892857142857143,0.5892857142857143,33,56,0.3333333333333333,0.6363636363636364,0.7407407407407407,198,0.001369
57,1789300861.1612844,dots_0_2,1,2,0,-1.0,0.08585,0.11307,0.80108,0.63492,0.5789473684210527,0.45,0.5789473684210527,0.5789473684210527,33,57,0.3333333333333333,0.5833333333333334,0.7407407407407407,195,0.00384
58,1789300861.1618414,dots_0_2,2,2,1,1.0,0.02658,0.04183,0.93159,0.29521,0.5862068965517241,0.45,0.5862068965517241,0.5862068965517241,34,58,0.3333333333333333,0.5833333333333334,0.75,198,0.001893
59,1789300861.1623933,dots_0_2,0,0,1,1.0,0.30132,0.29938,0.3993,1.0891,0.5932203389830508,0.45,0.5932203389830508,0.5932203389830508,35,59,0.3684210526315789,0.5833333333333334,0.75,192,0.001182
60,1789300861.1629179,dots_0_2,0,1,0,-1.0,0.29399,0.28269,0.42332,1.08095,0.5833333333333334,0.45,0.5833333333333334,0.5833333333333334,35,60,0.35,0.5833333333333334,0.75,198,0.001634
61,1789300861.267684,dots_0_2,0,2,0,-1.0,0.30752,0.28986,0.40263,1.08787,0.5737704918032787,0.45,0.5737704918032787,0.5737704918032787,35,61,0.3333333333333333,0.5833333333333334,0.75,198,0.001085
62,1789300861.268667,dots_0_2,0,1,0,-1.0,0.3111,0.2915,0.3974,1.08931,0.5645161290322581,0.45,0.5645161290322581,0.5645161290322581,35,62,0.3181818181818182,0.5833333333333334,0.75,198,0.001233
63,1789300861.2697318,dots_0_2,1,2,0,-1.0,0.09378,0.09976,0.80645,0.62539,0.5555555555555556,0.4,0.5555555555555556,0.5555555555555556,35,63,0.3181818181818182,0.5384615384615384,0.75,198,0.003675
64,1789300861.2704527,dots_0_2,2,2,1,1.0,0.03103,0.03428,0.93469,0.28653,0.5625,0.45,0.5625,0.5625,36,64,0.3181818181818182,0.5384615384615384,0.7586206896551724,198,0.001912
65,1789300861.271136,dots_0_2,2,2,1,1.0,0.01458,0.01268,0.97274,0.14391,0.5692307692307692,0.45,0.5692307692307692,0.5692307692307692,37,65,0.3181818181818182,0.5384615384615384,0.7666666666666667,198,0.0008
66,1789300861.3784752,dots_0_2,0,0,1,1.0,0.30166,0.28093,0.4174,1.0829,0.5757575757575758,0.45,0.5757575757575758,0.5757575757575758,38,66,0.34782608695652173,0.5384615384615384,0.7666666666666667,198,0.001499
67,1789300861.3792124,dots_0_2,1,2,0,-1.0,0.13991,0.22586,0.63423,0.9,0.5671641791044776,0.45,0.5671641791044776,0.5671641791044776,38,67,0.34782608695652173,0.5,0.7666666666666667,198,0.005605
68,1789300861.37984,dots_0_2,2,2,1,1.0,0.02108,0.02612,0.9528,0.22265,0.5735294117647058,0.45,0.5735294117647058,0.5735294117647058,39,68,0.34782608695652173,0.5,0.7741935483870968,198,0.00134
69,1789300861.380466,dots_0_2,2,2,1,1.0,0.03377,0.04153,0.9247,0.31894,0.5797101449275363,0.5,0.5797101449275363,0.5797101449275363,40,69,0.34782608695652173,0.5,0.78125,198,0.001985
70,1789300861.381035,dots_0_2,1,2,0,-1.0,0.124,0.14221,0.73378,0.76336,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,40,70,0.34782608695652173,0.4666666666666667,0.78125,198,0.004384
71,1789300861.4865315,dots_0_2,1,1,1,1.0,0.13276,0.15623,0.71101,0.8006,0.5774647887323944,0.55,0.5774647887323944,0.5774647887323944,41,71,0.34782608695652173,0.5,0.78125,198,0.014165
72,1789300861.4877572,dots_0_2,1,2,0,-1.0,0.11003,0.13242,0.75755,0.72091,0.5694444444444444,0.5,0.5694444444444444,0.5694444444444444,41,72,0.34782608695652173,0.47058823529411764,0.78125,198,0.00449
73,1789300861.4884725,dots_0_2,2,2,1,1.0,0.02394,0.05268,0.92339,0.318,0.5753424657534246,0.5,0.5753424657534246,0.5753424657534246,42,73,0.34782608695652173,0.47058823529411764,0.7878787878787878,195,0.002265
74,1789300861.4890392,dots_0_2,0,0,1,1.0,0.32355,0.29812,0.37833,1.09363,0.581081081081081,0.55,0.581081081081081,0.581081081081081,43,74,0.375,0.47058823529411764,0.7878787878787878,198,0.001136
75,1789300861.4895587,dots_0_2,2,2,1,1.0,0.0385,0.04695,0.91455,0.35069,0.5866666666666667,0.6,0.5866666666666667,0.5866666666666667,44,75,0.375,0.47058823529411764,0.7941176470588235,195,0.002416
76,1789300861.5971181,dots_0_2,2,2,1,1.0,0.00906,0.01632,0.97461,0.13486,0.5921052631578947,0.6,0.5921052631578947,0.5921052631578947,45,76,0.375,0.47058823529411764,0.8,198,0.000858
77,1789300861.597928,dots_0_2,1,2,0,-1.0,0.134,0.10609,0.75992,0.71597,0.5844155844155844,0.6,0.5844155844155844,0.5844155844155844,45,77,0.375,0.4444444444444444,0.8,198,0.004416
78,1789300861.5984895,dots_0_2,1,2,0,-1.0,0.13039,0.15078,0.71883,0.78821,0.5769230769230769,0.55,0.5769230769230769,0.5769230769230769,45,78,0.375,0.42105263157894735,0.8,198,0.005345
79,1789300861.5990498,dots_0_2,1,0,0,-1.0,0.13912,0.16063,0.70026,0.81764,0.569620253164557,0.5,0.569620253164557,0.569620253164557,45,79,0.375,0.4,0.8,195,0.015303
80,1789300861.5995796,dots_0_2,1,2,0,-1.0,0.10942,0.14012,0.75046,0.7329,0.5625,0.5,0.5625,0.5625,45,80,0.375,0.38095238095238093,0.8,198,0.004639
81,1789300861.7071288,dots_0_2,2,2,1,1.0,0.02329,0.04195,0.93476,0.28367,0.5679012345679012,0.55,0.5679012345679012,0.5679012345679012,46,81,0.375,0.38095238095238093,0.8055555555555556,198,0.001895
82,1789300861.707916,dots_0_2,1,1,1,1.0,0.12208,0.16452,0.7134,0.79458,0.573170731707317,0.6,0.573170731707317,0.573170731707317,47,82,0.375,0.4090909090909091,0.8055555555555556,198,0.01713
83,1789300861.7084632,dots_0_2,0,0,1,1.0,0.31459,0.30857,0.37684,1.09441,0.5783132530120482,0.65,0.5783132530120482,0.5783132530120482,48,83,0.4,0.4090909090909091,0.8055555555555556,198,0.001332
84,1789300861.7089949,dots_0_2,2,2,1,1.0,0.0206,0.0478,0.9316,0.29133,0.5833333333333334,0.65,0.5833333333333334,0.5833333333333334,49,84,0.4,0.4090909090909091,0.8108108108108109,198,0.00189
85,1789300861.709568,dots_0_2,1,1,1,1.0,0.12913,0.18332,0.68755,0.8329,0.5882352941176471,0.65,0.5882352941176471,0.5882352941176471,50,85,0.4,0.43478260869565216,0.8108108108108109,195,0.014425
86,1789300861.8170805,dots_0_2,2,2,1,1.0,0.04229,0.11003,0.84768,0.5167,0.5930232558139535,0.65,0.5930232558139535,0.5930232558139535,51,86,0.4,0.43478260869565216,0.8157894736842105,198,0.004279
87,1789300861.8179169,dots_0_2,1,2,0,-1.0,0.09595,0.14731,0.75674,0.71796,0.5862068965517241,0.65,0.5862068965517241,0.5862068965517241,51,87,0.4,0.4166666666666667,0.8157894736842105,198,0.005168
88,1789300861.8185077,dots_0_2,2,2,1,1.0,0.01789,0.04391,0.93821,0.26905,0.5909090909090909,0.65,0.5909090909090909,0.5909090909090909,52,88,0.4,0.4166666666666667,0.8205128205128205,198,0.001949
89,1789300861.819098,dots_0_2,2,2,1,1.0,0.04027,0.12289,0.83684,0.53604,0.5955056179775281,0.65,0.5955056179775281,0.5955056179775281,53,89,0.4,0.4166666666666667,0.825,198,0.004727
90,1789300861.8196805,dots_0_2,2,2,1,1.0,0.00955,0.03598,0.95447,0.20852,0.6,0.7,0.6,0.6,54,90,0.4,0.4166666666666667,0.8292682926829268,198,0.001478
91,1789300861.9271476,dots_0_2,2,2,1,1.0,0.03982,0.13111,0.82907,0.55015,0.6043956043956044,0.7,0.6043956043956044,0.6043956043956044,55,91,0.4,0.4166666666666667,0.8333333333333334,198,0.004752
92,1789300861.9280725,dots_0_2,1,2,0,-1.0,0.10322,0.13331,0.76347,0.70908,0.5978260869565217,0.7,0.5978260869565217,0.5978260869565217,55,92,0.4,0.4,0.8333333333333334,198,0.004181
93,1789300861.9287517,dots_0_2,0,0,1,1.0,0.31903,0.31251,0.36847,1.09585,0.6021505376344086,0.7,0.6021505376344086,0.6021505376344086,56,93,0.4230769230769231,0.4,0.8333333333333334,198,0.001364
94,1789300861.9293146,dots_0_2,1,2,0,-1.0,0.10662,0.10431,0.78907,0.66138,0.5957446808510638,0.65,0.5957446808510638,0.5957446808510638,56,94,0.4230769230769231,0.38461538461538464,0.8333333333333334,198,0.004455
95,1789300861.9298575,dots_0_2,1,2,0,-1.0,0.12321,0.15268,0.72412,0.77868,0.5894736842105263,0.6,0.5894736842105263,0.5894736842105263,56,95,0.4230769230769231,0.37037037037037035,0.8333333333333334,198,0.00593
96,1789300862.0352523,dots_0_2,2,2,1,1.0,0.03717,0.08517,0.87766,0.44669,0.59375,0.6,0.59375,0.59375,57,96,0.4230769230769231,0.37037037037037035,0.8372093023255814,198,0.00316
97,1789300862.0360653,dots_0_2,1,2,0,-1.0,0.13466,0.1835,0.68184,0.84224,0.5876288659793815,0.6,0.5876288659793815,0.5876288659793815,57,97,0.4230769230769231,0.35714285714285715,0.8372093023255814,198,0.005783
98,1789300862.036618,dots_0_2,0,0,1,1.0,0.322,0.31332,0.36468,1.09637,0.5918367346938775,0.65,0.5918367346938775,0.5918367346938775,58,98,0.4444444444444444,0.35714285714285715,0.8372093023255814,198,0.0014
99,1789300862.0371902,dots_0_2,2,2,1,1.0,0.01822,0.04119,0.94059,0.26195,0.5959595959595959,0.7,0.5959595959595959,0.5959595959595959,59,99,0.4444444444444444,0.35714285714285715,0.8409090909090909,198,0.001915
100,1789300862.037771,dots_0_2,2,2,1,1.0,0.04115,0.08808,0.87077,0.46576,0.6,0.75,0.6,0.6,60,100,0.4444444444444444,0.35714285714285715,0.8444444444444444,198,0.003795
101,1789300862.1440723,dots_0_2,0,2,0,-1.0,0.32829,0.30855,0.36317,1.09633,0.594059405940594,0.7,0.6,0.594059405940594,60,101,0.42857142857142855,0.35714285714285715,0.8444444444444444,198,0.001284
102,1789300862.1448057,dots_0_2,0,0,1,1.0,0.3309,0.30412,0.36499,1.09583,0.5980392156862745,0.7,0.6,0.5980392156862745,61,102,0.4482758620689655,0.35714285714285715,0.8444444444444444,198,0.001379
103,1789300862.145345,dots_0_2,2,2,1,1.0,0.02863,0.04602,0.92535,0.31522,0.6019417475728155,0.7,0.6,0.6019417475728155,62,103,0.4482758620689655,0.35714285714285715,0.8478260869565217,198,0.002052
104,1789300862.1459332,dots_0_2,2,2,1,1.0,0.03151,0.07197,0.89652,0.39626,0.6057692307692307,0.7,0.6,0.6057692307692307,63,104,0.4482758620689655,0.35714285714285715,0.851063829787234,195,0.003021
105,1789300862.1464946,dots_0_2,1,0,0,-1.0,0.16465,0.22151,0.61384,0.93047,0.6,0.65,0.6,0.6,63,105,0.4482758620689655,0.3448275862068966,0.851063829787234,195,0.013325
106,1789300862.253185,dots_0_2,1,2,0,-1.0,0.1539,0.20556,0.64053,0.89855,0.5943396226415094,0.6,0.59,0.5943396226415094,63,106,0.4482758620689655,0.3333333333333333,0.851063829787234,195,0.005148
107,1789300862.2540932,dots_0_2,2,2,1,1.0,0.0126,0.02096,0.96644,0.16913,0.5981308411214953,0.65,0.59,0.5981308411214953,64,107,0.4482758620689655,0.3333333333333333,0.8541666666666666,195,0.001003
108,1789300862.2548726,dots_0_2,2,2,1,1.0,0.03637,0.07854,0.8851,0.42837,0.6018518518518519,0.65,0.59,0.6018518518518519,65,108,0.4482758620689655,0.3333333333333333,0.8571428571428571,195,0.003179
109,1789300862.255518,dots_0_2,1,2,0,-1.0,0.15339,0.18212,0.66449,0.86933,0.5963302752293578,0.6,0.59,0.5963302752293578,65,109,0.4482758620689655,0.3225806451612903,0.8571428571428571,198,0.005028
110,1789300862.256068,dots_0_2,0,2,0,-1.0,0.32735,0.30661,0.36604,1.0959,0.5909090909090909,0.55,0.58,0.5909090909090909,65,110,0.43333333333333335,0.3225806451612903,0.8571428571428571,195,0.001313
111,1789300862.3613195,dots_0_2,1,1,1,1.0,0.16586,0.15334,0.6808,0.84727,0.5945945945945946,0.55,0.58,0.5945945945945946,66,111,0.43333333333333335,0.34375,0.8571428571428571,198,0.015875
112,1789300862.3621888,dots_0_2,0,0,1,1.0,0.33272,0.32003,0.34725,1.09806,0.5982142857142857,0.6,0.59,0.5982142857142857,67,112,0.45161290322580644,0.34375,0.8571428571428571,198,0.001224
113,1789300862.3627365,dots_0_2,0,0,1,1.0,0.33832,0.32404,0.33764,1.09842,0.6017699115044248,0.6,0.6,0.6017699115044248,68,113,0.46875,0.34375,0.8571428571428571,198,0.001207
114,1789300862.3632362,dots_0_2,0,2,0,-1.0,0.33817,0.31294,0.3489,1.09758,0.5964912280701754,0.6,0.6,0.5964912280701754,68,114,0.45454545454545453,0.34375,0.8571428571428571,198,0.001384
115,1789300862.3637211,dots_0_2,0,2,0,-1.0,0.34117,0.31959,0.33924,1.09818,0.591304347826087,0.6,0.59,0.591304347826087,68,115,0.4411764705882353,0.34375,0.8571428571428571,198,0.001299
116,1789300862.4703221,dots_0_2,0,0,1,1.0,0.34522,0.32259,0.33219,1.09823,0.5948275862068966,0.6,0.59,0.5948275862068966,69,116,0.45714285714285713,0.34375,0.8571428571428571,198,0.001295
117,1789300862.471437,dots_0_2,2,2,1,1.0,0.02703,0.05859,0.91439,0.34565,0.5982905982905983,0.65,0.59,0.5982905982905983,70,117,0.45714285714285713,0.34375,0.86,198,0.002568
118,1789300862.4721012,dots_0_2,1,2,0,-1.0,0.13443,0.21332,0.65225,0.87806,0.5932203389830508,0.6,0.58,0.5932203389830508,70,118,0.45714285714285713,0.3333333333333333,0.86,195,0.006776
119,1789300862.4727173,dots_0_2,2,2,1,1.0,0.06906,0.18313,0.74781,0.71278,0.5966386554621849,0.6,0.58,0.5966386554621849,71,119,0.45714285714285713,0.3333333333333333,0.8627450980392157,195,0.007506
120,1789300862.4732783,dots_0_2,1,2,0,-1.0,0.12294,0.17615,0.70092,0.81263,0.5916666666666667,0.55,0.57,0.5916666666666667,71,120,0.45714285714285713,0.3235294117647059,0.8627450980392157,198,0.006343
121,1789300862.5789752,dots_0_2,0,2,0,-1.0,0.34927,0.31858,0.33215,1.0979,0.5867768595041323,0.55,0.57,0.5867768595041323,71,121,0.4444444444444444,0.3235294117647059,0.8627450980392157,198,0.001358
122,1789300862.5798864,dots_0_2,0,2,0,-1.0,0.35704,0.32323,0.31973,1.09735,0.5819672131147541,0.5,0.57,0.5819672131147541,71,122,0.43243243243243246,0.3235294117647059,0.8627450980392157,198,0.001242
123,1789300862.5805895,dots_0_2,0,2,0,-1.0,0.35674,0.32465,0.31862,1.09737,0.5772357723577236,0.45,0.56,0.5772357723577236,71,123,0.42105263157894735,0.3235294117647059,0.8627450980392157,198,0.001433
124,1789300862.581169,dots_0_2,1,2,0,-1.0,0.13025,0.20838,0.66137,0.86575,0.5725806451612904,0.4,0.56,0.5725806451612904,71,124,0.42105263157894735,0.3142857142857143,0.8627450980392157,198,0.00575
125,1789300862.5817518,dots_0_2,2,2,1,1.0,0.04468,0.09869,0.85663,0.49999,0.576,0.45,0.56,0.576,72,125,0.42105263157894735,0.3142857142857143,0.8653846153846154,198,0.004438
126,1789300862.6891167,dots_0_2,0,1,0,-1.0,0.36053,0.3273,0.31217,1.09679,0.5714285714285714,0.45,0.56,0.5714285714285714,72,126,0.41025641025641024,0.3142857142857143,0.8653846153846154,198,0.001205
127,1789300862.6900158,dots_0_2,1,1,1,1.0,0.14093,0.17793,0.68114,0.84487,0.5748031496062992,0.45,0.57,0.5748031496062992,73,127,0.41025641025641024,0.3333333333333333,0.8653846153846154,198,0.016859
128,1789300862.6907377,dots_0_2,0,0,1,1.0,0.36433,0.33291,0.30275,1.09577,0.578125,0.45,0.57,0.578125,74,128,0.425,0.3333333333333333,0.8653846153846154,198,0.00112
